Club	Head Coach	City	Stadium	2003–2004 season
Académica de Coimbra	João Carlos Pereira	Coimbra	Estádio Cidade de Coimbra	13th in the Liga
Belenenses	Carlos Carvalhal Category:Articles with hCards	Lisbon	Estádio do Restelo	15th in the Liga
Benfica	Giovanni Trapattoni Category:Articles with hCards	Lisbon	Estádio da Luz	2nd in the Liga
Boavista	Jaime Pacheco	Porto	Estádio do Bessa – Século XXI	8th in the Liga
Braga	Jesualdo Ferreira Category:Articles with hCards	Braga	Estádio Municipal de Braga - AXA	5th in the Liga
Estoril-Praia	Litos	Estoril	Estádio António Coimbra da Mota	1st in the Liga de Honra
Gil Vicente	Luís Campos	Barcelos	Estádio Cidade de Barcelos	12th in the Liga
União de Leiria	Vítor Pontes	Leiria	Estádio Dr. Magalhães Pessoa	10th in the Liga
Penafiel	Manuel Fernandes	Penafiel	Estádio Municipal 25 de Abril	3rd in the Liga de Honra
Marítimo	Manuel Cajuda	Funchal	Estádio dos Barreiros	6th in the Liga
Nacional	Casemiro Mior	Funchal	Estádio da Madeira	4th in the Liga
Beira-Mar	Mick Wadsworth	Aveiro	Estádio Municipal de Aveiro	11th in the Liga
Moreirense	Vítor Oliveira	Guimarães	Estádio do Moreirense	9th in the Liga
Porto	Luigi Delneri	Porto	Estádio do Dragão	1st in the Liga
Sporting CP	José Peseiro Category:Articles with hCards	Lisbon	Estádio José Alvalade – Século XXI	3rd in the Liga
Rio Ave	Carlos Brito Category:Articles with hCards	Vila do Conde	Estádio dos Arcos	7th in the Liga
Vitória de Guimarães	Manuel Machado Category:Articles with hCards	Guimarães	Estádio D. Afonso Henriques	14th in the Liga
Vitória de Setúbal	José Couceiro	Setúbal	Estádio do Bonfim	2nd in the Liga de Honra
