Game	Date	Opponent	Score	Location/Attendance	Record
26	January 3	@ Toronto Huskies	58–53	Maple Leaf Gardens	6–20
27	January 6	Cleveland Rebels	53–64	Boston Garden	6–21
28	January 10	New York Knicks	66–62	Boston Garden	7–21
29	January 11	@ Providence Steam Rollers	73–72	Boston Garden	8–21
30	January 16	Washington Capitols	47–38	Boston Garden	9–21
31	January 18	@ New York Knickerbockers	58–45	Boston Garden	10–21
32	January 20	Chicago Stags	54–81	Boston Garden	10–22
33	January 21	@ Philadelphia Warriors	43–59	Philadelphia Arena	–23
34	January 23	Pittsburgh Ironmen	48–43	Boston Garden	11–23
35	January 25	@ New York Knickerbockers	52–46	Madison Square Garden	11–24
36	January 27	Washington Capitols	57–80	Boston Garden	12–24
37	January 29	@ Washington Capitols	57–69	Uline Arena	12–25
38	January 30	Pittsburgh Ironmen	66–51	Boston Garden	13–25
