Date	Opponent	Score	Loss	Record
September 1	Orioles	5 - 3	Palmer (3-4)	73-62
September 2	Tigers	9 - 8 (10)	Gott (7-13)	73-63
September 2	Tigers	8 - 7	Wilcox (8-9)	74-63
September 3	Tigers	7 - 4	Clancy (14-8)	74-64
September 4	Tigers	6 - 3 (10)	Lopez (9-8)	75-64
September 5	Angels	7 - 0	Zahn (8-11)	76-64
September 6	Angels	6 - 4	Curtis (1-2)	77-64
September 7	Angels	9 - 6	Geisel (0-2)	77-65
September 9	Athletics	7 - 5	Clancy (14-9)	77-66
September 10	Athletics	7 - 5	Underwood (8-7)	78-66
September 11	Athletics	16 - 6	Codiroli (12-11)	79-66
September 13	@ Mariners	6 - 4	Stoddard (8-15)	80-66
September 14	@ Mariners	4 - 3	Thomas (3-1)	81-66
September 15	@ Twins	6 - 2	Stieb (15-12)	81-67
September 16	@ Twins	11 - 4	Gott (9-14)	81-68
September 17	@ Twins	13 - 3	Pettibone (0-2)	82-68
September 19	Mariners	9 - 6	Geisel (0-3)	82-69
September 20	Mariners	7 - 3	Moore (5-8)	83-69
September 21	Mariners	4 - 3	Clark (7-9)	84-69
September 23	@ Athletics	2 - 0	Leal (13-11)	84-70
September 24	@ Athletics	2 - 1 (10)	Clancy (14-10)	84-71
September 25	@ Athletics	8 - 6	Atherton (2-5)	85-71
September 26	@ Angels	3 - 2 (10)	Lacey (0-2)	86-71
September 27	@ Angels	7 - 1	Leal (13-12)	86-72
September 28	@ Angels	5 - 3	Witt (7-14)	87-72
September 30	Twins	8 - 0	Viola (7-15)	88-72
