Game	December	Opponent	Score	Record	Points
24	2	St. Louis Blues	7–1	18–4–2	38
25	4	Hartford Whalers	1–2	18–5–2	38
26	6	@ Boston Bruins	0–5	18–6–2	38
27	7	Edmonton Oilers	5–2	19–6–2	40
28	9	Vancouver Canucks	6–3	20–6–2	42
29	11	Calgary Flames	5–3	21–6–2	44
30	13	@ Minnesota North Stars	4–5	21–7–2	44
31	14	@ Winnipeg Jets	4–1	22–7–2	46
32	18	New York Islanders	9–4	23–7–2	48
33	20	@ Pittsburgh Penguins	6–4	24–7–2	50
34	21	St. Louis Blues	7–6	25–7–2	52
35	23	@ Buffalo Sabres	1–2	25–8–2	52
36	27	@ Vancouver Canucks	2–4	25–9–2	52
37	28	@ Edmonton Oilers	4–6	25–10–2	52
38	30	@ Los Angeles Kings	1–4	25–11–2	52
