Week	Date	Time ( ET )	Opponent	Result	Record	Game site
1	September 7, 2008	1:00 P.M.	at Baltimore Ravens	L 17–10	0–1–0	M&T Bank Stadium
2	September 14, 2008	1:00 P.M.	Tennessee Titans	L 24–7	0–2–0	Paul Brown Stadium
3	September 21, 2008	1:00 P.M.	at New York Giants	L 26–23	0–3–0	Giants Stadium
4	September 28, 2008	1:00 P.M.	Cleveland Browns	L 20–12	0–4–0	Paul Brown Stadium
5	October 5, 2008	4:15 P.M.	at Dallas Cowboys	L 31–22	0–5–0	Texas Stadium
6	October 12, 2008	1:00 P.M.	at New York Jets	L 26–14	0–6–0	Giants Stadium
7	October 19, 2008	1:00 P.M.	Pittsburgh Steelers	L 38–10	0–7–0	Paul Brown Stadium
8 [a ]	October 26, 2008	4:05 P.M.	at Houston Texans	L 35–6	0–8–0	Reliant Stadium
9	November 2, 2008	1:00 P.M.	Jacksonville Jaguars	W 21–19	1–8–0	Paul Brown Stadium
10 [a ]	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
11	November 16, 2008	1:00 P.M.	Philadelphia Eagles	T 13–13 (OT)	1–8–1	Paul Brown Stadium
12	November 20, 2008	8:15 P.M.	at Pittsburgh Steelers	L 27–10	1–9–1	Heinz Field
13	November 30, 2008	1:00 P.M.	Baltimore Ravens	L 34–3	1–10–1	Paul Brown Stadium
14	December 7, 2008	1:00 P.M.	at Indianapolis Colts	L 35–3	1–11–1	Lucas Oil Stadium
15	December 14, 2008	1:00 P.M.	Washington Redskins	W 20–13	2–11–1	Paul Brown Stadium
16	December 21, 2008	1:00 P.M.	at Cleveland Browns	W 14–0	3–11–1	Cleveland Browns Stadium
17	December 28, 2008	1:00 P.M.	Kansas City Chiefs	W 16–6	4–11–1	Paul Brown Stadium
