#	City	1981 Census	1991 Census	2001 Census	2010 Est.	Region
1	Rome	2840259	2775250	2546804	2761477	Lazio
2	Milan	1604773	1369231	1256211	1324110	Lombardy
3	Naples	1212387	1067365	1004500	959574	Campania
4	Turin	1117154	962507	865263	907563	Piedmont
5	Palermo	701782	698556	686722	655875	Sicily
6	Genoa	762895	678771	610307	607906	Liguria
7	Bologna	459080	404378	371217	380181	Emilia-Romagna
8	Florence	448331	403294	356118	371282	Tuscany
9	Bari	371022	342309	316532	320475	Apulia
10	Catania	380328	333075	313110	293458	Sicily
11	Venice	346146	309422	271073	270884	Veneto
12	Verona	265932	255824	253208	263964	Veneto
13	Messina	260233	231693	252026	242503	Sicily
14	Padua	234678	215137	204870	214198	Veneto
15	Trieste	252369	231100	211184	205535	Friuli-Venezia Giulia
16	Brescia	206661	194502	187567	193879	Lombardy
17	Taranto	244101	232334	202033	191810	Apulia
18	Prato	160220	165707	172499	188011	Tuscany
19	Parma	179019	170520	163457	186690	Emilia-Romagna
20	Reggio Calabria	173486	177580	180353	186547	Calabria
21	Modena	180312	176990	175502	184663	Emilia-Romagna
22	Reggio Emilia	130376	132030	141877	170086	Emilia-Romagna
23	Perugia	142348	144732	149125	168169	Umbria
24	Livorno	175741	167512	156274	161131	Tuscany
25	Ravenna	138034	135844	134631	158739	Emilia-Romagna
26	Cagliari	233848	204237	164249	156488	Sardinia
27	Foggia	156467	156268	155203	152747	Apulia
28	Rimini	127813	127960	128656	143321	Emilia-Romagna
29	Salerno	157385	148932	138188	139019	Campania
30	Ferrara	149453	138015	130992	135369	Emilia-Romagna
31	Sassari	119596	122339	120729	130658	Sardinia
32	Syracuse	117615	125941	123657	123850	Sicily
33	Pescara	131330	122236	116286	123077	Abruzzo
34	Monza	123145	120651	120204	122712	Lombardy
35	Latina	93738	106203	107898	119804	Lazio
36	Bergamo	122142	114936	113143	119551	Lombardy
37	Forlì	110806	109541	108335	118167	Emilia-Romagna
38	Giugliano in Campania	44220	60096	97999	117963	Campania
39	Trento	99179	101545	104946	116298	Trentino-Alto Adige
40	Vicenza	114598	107454	107223	115927	Veneto
41	Terni	111564	108248	105018	113324	Umbria
42	Novara	102086	101112	100910	105024	Piedmont
43	Bolzano	105180	98158	94989	104029	Trentino-Alto Adige
44	Piacenza	109039	102268	95594	103206	Emilia-Romagna
45	Ancona	106498	101285	100507	102997	Marche
46	Arezzo	92105	91626	91589	100212	Tuscany
47	Andria	84661	90063	95653	100086	Apulia
48	Udine	102021	99189	95030	99627	Friuli-Venezia Giulia
49	Cesena	89455	88487	90948	97056	Emilia-Romagna
50	Lecce	91289	100884	83303	95520	Apulia
51	La Spezia	115392	101442	91391	95378	Liguria
52	Pesaro	90412	88713	91086	95011	Marche
53	Alessandria	100523	90753	85438	94974	Piedmont
54	Barletta	83453	89527	92094	94459	Apulia
55	Catanzaro	100832	96614	95251	93124	Calabria
56	Pistoia	92274	87830	84274	90288	Tuscany
57	Brindisi	89786	95383	89081	89780	Apulia
58	Pisa	104509	98928	89694	88217	Tuscany
59	Torre del Greco	103605	101361	90607	87197	Campania
60	Como	95571	87059	78680	85263	Lombardy
61	Lucca	91246	87100	81862	84939	Tuscany
62	Guidonia Montecelio	50816	57473	67516	83736	Lazio
63	Pozzuoli	69861	75142	78754	83459	Campania
64	Treviso	87696	83598	80144	82807	Veneto
65	Marsala	79175	80177	77784	82774	Sicily
66	Grosseto	69523	71257	71263	81928	Tuscany
67	Busto Arsizio	79728	77094	75916	81760	Lombardy
68	Varese	90527	85687	80511	81579	Lombardy
69	Sesto San Giovanni	95833	86721	78850	81130	Lombardy
70	Casoria	68521	79707	81888	79562	Campania
71	Caserta	66318	69027	75208	78693	Campania
72	Gela	74806	72535	72774	77360	Sicily
73	Asti	77681	73557	71276	76534	Piedmont
74	Cinisello Balsamo	80757	76262	72050	75150	Lombardy
75	Ragusa	64492	67535	68956	73743	Sicily
76	L’Aquila	63678	66813	68503	72511	Abruzzo
77	Cremona	80929	74113	70887	72147	Lombardy
78	Quartu Sant'Elena	43896	61636	68040	71779	Sardinia
79	Lamezia Terme	63989	70114	70501	71286	Calabria
80	Pavia	85029	76962	71214	71142	Lombardy
81	Fiumicino	37492	41342	50535	70985	Lazio
82	Massa	65687	66737	66769	70973	Tuscany
83	Trapani	71927	69497	68346	70622	Sicily
84	Aprilia	37807	47037	56028	70349	Lazio
85	Cosenza	106801	86664	72998	70068	Calabria
86	Altamura	51346	57874	64167	70023	Apulia
87	Imola	60661	62567	64348	69116	Emilia-Romagna
88	Carpi	60614	60715	61476	69021	Emilia-Romagna
89	Potenza	64358	65714	69060	68297	Basilicata
90	Carrara	68702	67197	65034	65573	Tuscany
91	Castellammare di Stabia	70685	68733	66929	64506	Campania
92	Viareggio	58263	57514	61103	64503	Tuscany
93	Fano	52116	53909	57529	64100	Marche
94	Afragola	57367	60065	62319	63981	Campania
95	Vigevano	65179	60384	57450	63700	Lombardy
96	Viterbo	57632	58380	59308	63597	Lazio
97	Vittoria	51240	55280	55317	63332	Sicily
98	Savona	75353	67177	59907	62553	Liguria
99	Benevento	62636	62561	61791	62035	Campania
100	Crotone	58262	59001	60010	61798	Calabria
101	Pomezia	29925	37512	43960	61106	Lazio
102	Matera	50712	54919	57785	60818	Basilicata
103	Caltanissetta	61146	61319	61438	60267	Sicily
104	Molfetta	65625	66839	62546	60159	Apulia
105	Marano di Napoli	41571	47961	57448	59472	Campania
106	Agrigento	51325	55283	54619	59175	Sicily
107	Legnano	49687	50018	53797	59147	Lombardy
108	Cerignola	50819	55052	57366	59103	Apulia
109	Moncalieri	64035	59700	53350	58320	Piedmont
110	Foligno	52551	53202	51130	58162	Umbria
111	Faenza	55167	54139	53641	58150	Emilia-Romagna
112	Manfredonia	53030	58318	57704	57455	Apulia
113	Sanremo	61170	56003	50608	56962	Liguria
114	Tivoli	50985	52372	49342	56531	Lazio
115	Bitonto	49714	53772	56929	56462	Apulia
116	Avellino	56892	55662	52703	56339	Campania
117	Bagheria	40076	47085	50854	56336	Sicily
118	Acerra	36052	41311	45688	56177	Campania
119	Olbia	30787	41095	45366	56066	Sardinia
120	Cuneo	55875	55794	52334	55714	Piedmont
121	Anzio	27169	33497	36952	55413	Lazio
122	San Severo	54205	55085	55861	55321	Apulia
123	Modica	47537	50529	52639	55196	Sicily
124	Teramo	51092	51756	51023	54957	Abruzzo
125	Bisceglie	46538	47408	51718	54847	Apulia
126	Ercolano	58310	61233	56738	54779	Campania
127	Siena	61989	56956	52625	54543	Tuscany
128	Chieti	54927	55876	52486	54305	Abruzzo
129	Portici	80410	68980	60218	53981	Campania
130	Trani	44510	50429	53139	53940	Apulia
131	Velletri	41213	43423	48236	53544	Lazio
132	Cava de' Tirreni	50667	52502	52616	53520	Campania
133	Acireale	48493	46199	50190	53122	Sicily
134	Rovigo	52218	52472	50289	52793	Veneto
135	Civitavecchia	49389	51201	50032	52294	Lazio
136	Gallarate	47259	44977	46361	51751	Lombardy
137	Pordenone	52094	50192	49122	51723	Friuli-Venezia Giulia
138	Aversa	56425	54032	53369	51631	Campania
139	Montesilvano	29240	35153	40700	51565	Abruzzo
140	Mazara del Vallo	43748	47750	50377	51492	Sicily
141	Ascoli Piceno	54298	53591	51375	51168	Marche
142	Battipaglia	40797	47139	50359	51133	Campania
143	Campobasso	48291	50941	50762	50916	Molise
144	Scafati	34061	40710	47082	50794	Campania
145	Casalnuovo di Napoli	21033	33827	47940	50724	Campania
146	Rho	50666	51848	50246	50686	Lombardy
147	Chioggia	53470	53179	51779	50674	Veneto
148	Scandicci	54038	53523	50136	50309	Tuscany
