Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Yamaha	27	45:43.156	1
Sete Gibernau	Honda	27	+8.631	2
Marco Melandri	Honda	27	+18.460	3
Alex Barros	Honda	27	+26.938	8
Shinya Nakano	Kawasaki	27	+27.659	5
Troy Bayliss	Honda	27	+28.509	9
Max Biaggi	Honda	27	+30.618	16
Makoto Tamada	Honda	27	+36.887	7
Colin Edwards	Yamaha	27	+37.608	15
Carlos Checa	Ducati	27	+39.678	12
Alex Hofmann	Kawasaki	27	+42.283	10
Toni Elías	Yamaha	27	+55.457	13
Loris Capirossi	Ducati	27	+1:02.372	6
John Hopkins	Suzuki	27	+1:19.346	11
Roberto Rolfo	Ducati	27	+1:33.607	18
James Ellison	Blata	26	+1 lap	21
Franco Battaini	Blata	26	+1 lap	19
Rubén Xaus	Yamaha	24	+3 laps	17
Nicky Hayden	Honda	20	Retirement	4
Kenny Roberts, Jr.	Suzuki	11	Retirement	14
Shane Byrne	Proton KR	2	Retirement	20
