Year	Winner	Runner-up	Result	Venues	Attendance	Entries
5 May 1918	Olympique de Pantin	FC Lyon	3–0	Rue Olivier-de-Serres	2000	48
6 April 1919	CASG Paris	Olympique de Pantin	3–2 aet	Parc des Princes	10000	60
9 May 1920	CA Paris	Le Havre AC	2–1	Stade Bergeyre	7000	114
24 April 1921	Red Star	Olympique de Pantin	2–1	Stade Pershing	18000	202
7 May 1922	Red Star	Stade Rennais	2–0	Stade Pershing	25000	249
6 May 1923	Red Star	FC Sète	4–2	Stade Pershing	20000	304
13 April 1924	Olympique de Marseille	FC Sète	3–2 aet	Stade Pershing	29000	325
10 May 1925	CASG Paris	FC Rouen	1–1 aet	Colombes	18000	326
10 May 1925	CASG Paris	FC Rouen	3–2 Replay	Colombes	18000	326
9 May 1926	Olympique de Marseille	AS Valentigney	4–1	Colombes	26000	336
6 May 1927	Olympique de Marseille	US Quevilly	3–0	Colombes	23800	346
6 May 1928	Red Star	CA Paris	3–1	Colombes	30000	336
5 May 1929	Montpellier Hérault SC	FC Sète	2–0	Colombes	25000	380
27 April 1930	FC Sète	RC Paris	3–1 aet	Colombes	35000	408
3 May 1931	Club Français	Montpellier Hérault SC	3–0	Colombes	30000	423
24 April 1932	AS Cannes	RC Roubaix	1–0	Colombes	36143	438
7 May 1933	Excelsior Athlétic Club de Roubaix	RC Roubaix	3–1	Colombes	33000	472
6 May 1934	FC Sète	Olympique de Marseille	2–1	Colombes	40600	540
5 May 1935	Olympique de Marseille	Stade Rennais	3–0	Colombes	40008	567
3 May 1936	RC Paris	FCO Charleville (Level 2)	1–0	Colombes	39725	636
9 May 1937	FC Sochaux	RC Strasbourg	2–1	Colombes	39538	658
8 May 1938	Olympique de Marseille	FC Metz	2–1 aet	Parc des Princes	33044	679
14 May 1939	RC Paris	Lille OSC	3–1	Colombes	52431	727
5 May 1940	RC Paris	Olympique de Marseille	2–1	Parc des Princes	25969	778
25 May 1941	Girondins de Bordeaux	SC Fives	2–0	Saint-Ouen	15230	236
17 May 1942	Red Star	FC Sète	2–0	Colombes	40000	469
22 May 1943	Olympique de Marseille	Girondins de Bordeaux	2–2 aet	Colombes	32500	664
22 May 1943	Olympique de Marseille	Girondins de Bordeaux	4–0 Replay	Colombes	32212	664
7 May 1944	Équipe fédérale Nancy-Lorraine	Équipe fédérale Reims-Champagne	4–0	Parc des Princes	31995	772
6 May 1945	RC Paris	Lille OSC	3–0	Colombes	49983	510
26 May 1946	Lille OSC	Red Star	4–2	Colombes	59692	811
11 May 1947	Lille OSC	RC Strasbourg	2–0	Colombes	59852	922
10 May 1948	Lille OSC	RC Lens (Level 2)	3–2	Colombes	60739	933
8 May 1949	RC Paris	Lille OSC	5–2	Colombes	61473	981
14 May 1950	Stade de Reims	RC Paris	2–0	Colombes	61722	977
6 May 1951	RC Strasbourg	Valenciennes FC (Level 2)	3–0	Colombes	61492	1010
4 May 1952	OGC Nice	Girondins de Bordeaux	5–3	Colombes	61485	1024
31 May 1953	Lille OSC	FC Nancy	2–1	Colombes	58993	1035
23 May 1954	OGC Nice	Olympique de Marseille	2–1	Colombes	56803	1072
29 May 1955	Lille OSC	Girondins de Bordeaux	5–2	Colombes	49411	1165
27 May 1956	CS Sedan	ES Troyes AC	3–1	Colombes	47258	1203
26 May 1957	Toulouse FC	SCO Angers	6–3	Colombes	43125	1149
18 May 1958	Stade de Reims	Nîmes Olympique	3–1	Colombes	56523	1163
18 May 1959	Le Havre AC (Level 2)	FC Sochaux	2–2 aet	Colombes	36655	1159
18 May 1959	Le Havre AC (Level 2)	FC Sochaux	3–0 Replay	Colombes	36655	1159
15 May 1960	AS Monaco	AS Saint-Étienne	4–2 aet	Colombes	38298	1187
7 May 1961	CS Sedan	Nîmes Olympique	3–1	Colombes	39070	1193
13 May 1962	AS Saint-Étienne	FC Nancy	1–0	Colombes	30654	1226
23 May 1963	AS Monaco	Olympique Lyonnais	0–0 aet	Colombes	32923	1209
23 May 1963	AS Monaco	Olympique Lyonnais	2–0 Replay	Colombes	24910	1209
10 May 1964	Olympique Lyonnais	Girondins de Bordeaux	2–0	Colombes	32777	1203
26 May 1965	Stade Rennais	CS Sedan	2–2 aet	Parc des Princes	36789	1183
26 May 1965	Stade Rennais	CS Sedan	3–1 Replay	Parc des Princes	26792	1183
22 May 1966	RC Strasbourg	FC Nantes	1–0	Parc des Princes	36285	1190
21 May 1967	Olympique Lyonnais	FC Sochaux	3–1	Parc des Princes	32523	1378
12 May 1968	AS Saint-Étienne	Girondins de Bordeaux	2–1	Colombes	33959	1378
18 May 1969	Olympique de Marseille	Girondins de Bordeaux	2–0	Colombes	39460	1377
31 May 1970	AS Saint-Étienne	FC Nantes	5–0	Colombes	32894	1375
20 June 1971	Stade Rennais	Olympique Lyonnais	1–0	Colombes	46801	1383
4 June 1972	Olympique de Marseille	SC Bastia	2–1	Parc des Princes	44069	1596
17 June 1973	Olympique Lyonnais	FC Nantes	2–1	Parc des Princes	45734	1596
8 June 1974	AS Saint-Étienne	AS Monaco	2–1	Parc des Princes	45813	1720
14 June 1975	AS Saint-Étienne	RC Lens	2–0	Parc des Princes	44725	1940
12 June 1976	Olympique de Marseille	Olympique Lyonnais	2–0	Parc des Princes	45661	1977
18 June 1977	AS Saint-Étienne	Stade de Reims	2–1	Parc des Princes	45454	2084
13 May 1978	AS Nancy	OGC Nice	1–0	Parc des Princes	45998	2544
16 June 1979	FC Nantes	AJ Auxerre (Level 2)	4–1 aet	Parc des Princes	46070	2473
7 June 1980	AS Monaco	US Orléans (Level 2)	3–1	Parc des Princes	46136	2473
13 June 1981	SC Bastia	AS Saint-Étienne	2–1	Parc des Princes	46155	2924
15 May 1982	Paris SG	AS Saint-Étienne	2–2 aet 6–5 pen	Parc des Princes	46160	3179
11 June 1983	Paris SG	FC Nantes	3–2	Parc des Princes	46203	3280
11 May 1984	FC Metz	AS Monaco	2–0 aet	Parc des Princes	45384	3705
8 June 1985	AS Monaco	Paris SG	1–0	Parc des Princes	45711	3983
30 April 1986	Girondins de Bordeaux	Olympique de Marseille	2–1 aet	Parc des Princes	45429	4117
10 June 1987	Girondins de Bordeaux	Olympique de Marseille	2–0	Parc des Princes	45145	4964
11 June 1988	FC Metz	FC Sochaux	1–1 aet 5–4 pen	Parc des Princes	44531	5293
10 June 1989	Olympique de Marseille	AS Monaco	4–3	Parc des Princes	44448	5293
2 June 1990	Montpellier Hérault SC	RC Paris	2–1 aet	Parc des Princes	44067	5972
8 June 1991	AS Monaco	Olympique de Marseille	1–0	Parc des Princes	44123	6065
12 June 1993	Paris SG	FC Nantes	3–0	Parc des Princes	48789	6523
14 May 1994	AJ Auxerre	Montpellier HSC	3–0	Parc des Princes	45189	6261
13 May 1995	Paris SG	RC Strasbourg	1–0	Parc des Princes	46698	5975
4 May 1996	AJ Auxerre	Nîmes Olympique (Level 3)	2–1	Parc des Princes	44921	5847
10 May 1997	OGC Nice	En Avant de Guingamp	1–1 aet 4–3 pen	Parc des Princes	44131	5986
2 May 1998	Paris SG	RC Lens	2–1	Stade de France	78265	6106
15 May 1999	FC Nantes	CS Sedan (Level 2)	1–0	Stade de France	78586	5957
7 May 2000	FC Nantes	Calais RUFC (Level 4)	2–1	Stade de France	78717	6096
26 May 2001	RC Strasbourg	Amiens SC (Level 2)	0–0 aet 5–4 pen	Stade de France	78641	6375
11 May 2002	FC Lorient	SC Bastia	1–0	Stade de France	66215	5848
31 May 2003	AJ Auxerre	Paris SG	2–1	Stade de France	78316	5850
29 May 2004	Paris SG	LB Châteauroux (Level 2)	1–0	Stade de France	78357	6057
4 June 2005	AJ Auxerre	CS Sedan	2–1	Stade de France	78721	6263
29 April 2006	Paris Saint-Germain	Olympique de Marseille	2–1	Stade de France	79797	6394
12 May 2007	FC Sochaux	Olympique de Marseille	2–2 aet 5–4 pen	Stade de France	79850	6577
24 May 2008	Olympique Lyonnais	Paris Saint-Germain	1–0	Stade de France	79204	6734
9 May 2009	EA Guingamp (Level 2)	Stade Rennais	2–1	Stade de France	80056	7246
1 May 2010	Paris Saint-Germain	AS Monaco	1–0 aet	Stade de France	74000	7317
14 May 2011	Lille	Paris Saint-Germain	1–0	Stade de France	79000	7449
28 April 2012	Olympique Lyonnais	US Quevilly (Level 3)	1–0	Stade de France	76293	7422
