Date	Opponent	Score	Loss	Record
June 1	Twins	4–0	Rohr (2–3)	22–21
June 2	@ Indians	2–1	Siebert (4–4)	23–21
June 3	@ Indians	6–2	Bell (1–5)	24–21
June 4	@ Indians	3–0	Stange (0–3)	24–22
June 6	@ White Sox	5–3	Brandon (2–6)	24–23
June 8	@ White Sox	5–2	Bennett (4–2)	24–24
June 8	@ White Sox	7–3	Howard (1–4)	25–24
June 9	Senators	8–7	Humphreys (1–1)	26–24
June 10	Senators	7–3	Stange (0–4)	26–25
June 11	Senators	4–3	Baldwin (0–1)	27–25
June 11	Senators	8–7	Osinski (2–1)	27–26
June 12	Yankees	3–1	Verbanic (2–1)	28–26
June 13	Yankees	5–3	Lonborg (7–2)	28–27
June 14	White Sox	8–7	Bennett (4–3)	28–28
June 14	White Sox	6–1	Klages (0–1)	29–28
June 15	White Sox	2 – 1 (11)	Buzhardt (2–6)	30–28
June 16	@ Senators	1–0	Bell (3–6)	30–29
June 16	@ Senators	4–3	Wyatt (4–3)	30–30
June 17	@ Senators	5–1	Moore (3–4)	31–30
June 18	@ Senators	3 – 2 (10)	Santiago (4–3)	31–31
June 20	@ Yankees	7–1	Stottlemyre (6–7)	32–31
June 21	@ Yankees	8–1	Tillotson (3–3)	33–31
June 23	Indians	8–4	Siebert (6–7)	34–31
June 24	Indians	3–2	Brandon (2–7)	34–32
June 25	Indians	8–3	Tiant (6–2)	35–32
June 26	@ Twins	2–1	Lonborg (9–3)	35–33
June 27	@ Twins	3–2	Chance (10–6)	36–33
June 28	@ Twins	3–2	Stange (2–5)	36–34
June 30	@ Athletics	5–3	Nash (8–7)	37–34
