#	Date	Team	Score	Location Attendance	High Points	High Rebounds	High Assists	Record
49	February 2	vs. Toronto	W 130-115	Conseco Fieldhouse 11,191	D. Granger (23)	T. Murphy (14)	E. Watson (11)	17-32
50	February 5	vs. Detroit	W 107-83	Conseco Fieldhouse 14,832	D. Granger (25)	R. Hibbert (11)	B. Rush (5) T.J. Ford (5)	18-32
51	February 6	@ Milwaukee	L 81-93	Bradley Center 18,717	T. Ford (20)	T. Murphy (11)	D. Granger (5)	18-33
52	February 9	vs. Chicago	L 101-109	Conseco Fieldhouse 12,945	D. Granger (27)	T. Murphy (16)	E. Watson (6)	18-34
53	February 17	vs. San Antonio	L 87-90	Conseco Fieldhouse 14,947	D. Granger (23)	T. Murphy (16)	E. Watson (8)	18-35
54	February 19	@ New Orleans	L 101-107	New Orleans Arena 15,644	D. Granger (29)	T. Murphy (7)	T. Ford (6)	18-36
55	February 20	@ Houston	W 125-115	Toyota Center 16,550	D. Granger (36)	T. Murphy (12)	D. Granger (4) T. Murphy (4)	19-36
56	February 22	@ Dallas	L 82-91	American Airlines Center 19,585	T. Ford (14)	T. Murphy (11)	5 players (3)	19-37
57	February 24	@ Chicago	L 110-120	United Center 20,363	B. Rush (21)	D. Granger (7) B. Rush (7)	D. Granger (5)	19-38
58	February 25	vs. Milwaukee	L 110-112	Conseco Fieldhouse 14,116	D. Granger (21)	E. Watson (8)	E. Watson (5) T. Ford (5)	19-39
