District	Incumbent	Party	First elected	Result	Candidates
Virginia 4	William McCoy	Democratic-Republican	1811	Re-elected	William McCoy (DR)
Virginia 5	John Floyd	Democratic-Republican	1817	Re-elected	John Floyd (DR)
Virginia 6	Alexander Smyth	Democratic-Republican	1817	Re-elected	Alexander Smyth (DR)
Virginia 7	Ballard Smith	Democratic-Republican	1815	Retired Democratic-Republican hold	William Smith (DR) 53.2% James Wilson (DR) 46.8%
Virginia 11	Philip P. Barbour	Democratic-Republican	1814 (special)	Re-elected	Philip P. Barbour (DR)
Virginia 12	Robert S. Garnett	Democratic-Republican	1817	Re-elected	Robert S. Garnett (DR) 100%
Virginia 14	William A. Burwell	Democratic-Republican	1806 (special)	Retired Democratic-Republican hold	Jabez Leftwich (DR) 93.5% James Calloway (DR) 6.5%
Virginia 17	William S. Archer	Democratic-Republican	1820 (special)	Re-elected	William S. Archer (DR) 100%
Virginia 18	Mark Alexander	Democratic-Republican	1819	Re-elected	Mark Alexander (DR) 100%
Virginia 19	James Jones	Democratic-Republican	1819	Re-elected	James Jones (DR)
Virginia 20	John C. Gray	Democratic-Republican	1820 ( special )	Lost re-election Democratic-Republican hold	Arthur Smith (DR) 60.3% John C. Gray (DR) 39.7%
Virginia 21	Thomas Newton, Jr.	Democratic-Republican	1797	Re-elected	Thomas Newton, Jr. (DR) 94.7% Others 5.3%
Virginia 22	Hugh Nelson	Democratic-Republican	1811	Re-elected	Hugh Nelson (DR) 100%
