Rider	Manufacturer	Laps	Time/Retired	Grid
Mattia Pasini	Aprilia	23	39:47.944	3
Gábor Talmácsi	Aprilia	23	+4.774	4
Tomoyoshi Koyama	KTM	23	+8.576	6
Sergio Gadea	Aprilia	23	+15.819	10
Pol Espargaró	Aprilia	23	+23.972	14
Randy Krummenacher	KTM	23	+25.159	16
Stefan Bradl	Aprilia	23	+25.391	17
Bradley Smith	Honda	23	+25.513	9
Raffaele de Rosa	Aprilia	23	+25.994	13
Michael Ranseder	Derbi	23	+26.239	12
Esteve Rabat	Honda	23	+26.693	7
Joan Olivé	Aprilia	23	+26.972	15
Mike Di Meglio	Honda	23	+27.493	11
Andrea Iannone	Aprilia	23	+32.894	22
Sandro Cortese	Aprilia	23	+39.305	8
Lorenzo Zanetti	Aprilia	23	+40.035	20
Héctor Faubel	Aprilia	23	+40.125	2
Nicolás Terol	Derbi	23	+40.157	18
Roberto Tamburini	Aprilia	23	+48.291	21
Lukáš Pešek	Derbi	23	+49.621	1
Alexis Masbou	Honda	23	+50.496	27
Simone Sancioni	Aprilia	23	+57.519	23
Dominique Aegerter	Aprilia	23	+57.666	25
Ferruccio Lamborghini	Aprilia	23	+59.680	37
Roberto Lacalendola	Aprilia	23	+1:05.109	30
Stevie Bonsey	KTM	23	+1:05.276	29
Joey Litjens	Honda	23	+1:08.757	31
Simone Grotzkyj	Honda	23	+1:10.395	24
Robert Mureşan	Derbi	23	+1:18.572	36
Danny Webb	Honda	23	+1:20.963	33
Hugo van den Berg	Aprilia	23	+1:21.676	35
Federico Biaggi	Friba	23	+1:54.228	32
Simone Corsi	Aprilia	21	Accident	5
Stefano Bianco	Aprilia	16	Retirement	19
Dino Lombardi	Honda	11	Retirement	34
Pablo Nieto	Honda	9	Retirement	28
Federico Sandi	Aprilia	0	Accident	26
