Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1969	July 6	Richard Petty	Petty Enterprises	Ford	300	300 (482.803)	2:35:28	115.772	Report
1970	Sept 20	Richard Petty	Petty Enterprises	Plymouth	300	300 (482.803)	2:40:34	112.103	Report
1971	June 6	Bobby Allison	Holman-Moody	Mercury	500	500 (804.672)	4:30:40	123.119	Report
1972	June 4	Bobby Allison	Richard Howard	Chevrolet	500	500 (804.672)	4:12:49	118.019	Report
1973	June 3	David Pearson	Wood Brothers Racing	Mercury	500	500 (804.672)	4:10:32	119.745	Report
1974	May 19	Cale Yarborough	Richard Howard	Chevrolet	450*	450 (724.204)	3:54:40	115.057	Report
1975	May 18	David Pearson	Wood Brothers Racing	Mercury	500	500 (804.672)	4:57:32	100.82	Report
1976	May 16	Benny Parsons	L.G. DeWitt	Chevrolet	500	500 (804.672)	4:19:53	115.436	Report
1977	May 15	Cale Yarborough	Junior Johnson & Associates	Chevrolet	500	500 (804.672)	4:03:26	123.327	Report
1978	May 21	David Pearson	Wood Brothers Racing	Mercury	500	500 (804.672)	4:21:38	114.664	Report
1979	May 20	Neil Bonnett	Wood Brothers Racing	Mercury	500	500 (804.672)	4:29:37	111.269	Report
1980	May 18	Bobby Allison	Bud Moore Engineering	Ford	500	500 (804.672)	4:23:28	113.866	Report
1981	May 17	Jody Ridley	Junie Donlavey	Ford	500	500 (804.672)	4:17:18	116.595	Report
1982	May 16	Bobby Allison	DiGard Motorsports	Chevrolet	500	500 (804.672)	4:09:43	120.136	Report
1983	May 15	Bobby Allison	DiGard Motorsports	Buick	500	500 (804.672)	4:21:13	114.847	Report
1984	May 20	Richard Petty	Curb Racing	Pontiac	500	500 (804.672)	4:12:42	118.717	Report
1985	May 19	Bill Elliott	Melling Racing	Ford	500	500 (804.672)	4:03:43	123.094	Report
1986	May 18	Geoffrey Bodine	Hendrick Motorsports	Chevrolet	500	500 (804.672)	4:20:51	115.009	Report
1987	May 31	Davey Allison	Ranier-Lundy	Ford	500	500 (804.672)	4:25:35	112.958	Report
1988	June 5	Bill Elliott	Melling Racing	Ford	500	500 (804.672)	4:12:41	118.726	Report
1989	June 4	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	500 (804.672)	4:06:34	121.67	Report
1990	June 3	Derrike Cope	Whitcomb Racing	Chevrolet	500	500 (804.672)	4:02:01	123.96	Report
1991	June 2	Ken Schrader	Hendrick Motorsports	Chevrolet	500	500 (804.672)	4:09:41	120.152	Report
1992	May 31	Harry Gant	Leo Jackson Racing	Oldsmobile	500	500 (804.672)	4:34:05	109.456	Report
1993	June 6	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	500 (804.672)	4:44:06	105.6	Report
1994	June 5	Rusty Wallace	Penske Racing	Ford	500	500 (804.672)	4:52:36	102.529	Report
1995	June 4	Kyle Petty	SABCO Racing	Pontiac	500	500 (804.672)	4:10:15	119.88	Report
1996	June 2	Jeff Gordon	Hendrick Motorsports	Chevrolet	500	500 (804.672)	4:04:25	122.741	Report
1997	June 1	Ricky Rudd	Rudd Performance Motorsports	Ford	500	500 (804.672)	4:21:42	114.635	Report
1998	May 31	Dale Jarrett	Robert Yates Racing	Ford	400	400 (643.737)	3:20:46	119.522	Report
1999	June 6	Bobby Labonte	Joe Gibbs Racing	Pontiac	400	400 (643.737)	3:19:00	120.603	Report
2000	June 4	Tony Stewart	Joe Gibbs Racing	Pontiac	400	400 (643.737)	3:39:09	109.514	Report
2001	June 3	Jeff Gordon	Hendrick Motorsports	Chevrolet	400	400 (643.737)	3:19:24	120.361	Report
2002	June 2	Jimmie Johnson	Hendrick Motorsports	Chevrolet	400	400 (643.737)	3:24:10	117.551	Report
2003	June 1	Ryan Newman	Penske Racing	Dodge	400	400 (643.737)	3:44:31	106.896	Report
2004	June 6	Mark Martin	Roush Racing	Ford	400	400 (643.737)	4:07:19	97.042	Report
2005	June 5	Greg Biffle	Roush Racing	Ford	400	400 (643.737)	3:15:43	122.626	Report
2006	June 4	Matt Kenseth	Roush Racing	Ford	400	400 (643.737)	3:38:27	109.865	Report
2007	June 4*	Martin Truex, Jr.	Dale Earnhardt, Inc.	Chevrolet	400	400 (643.737)	3:21:45	118.95	Report
2008	June 1	Kyle Busch	Joe Gibbs Racing	Toyota	400	400 (643.737)	3:18:04	121.171	Report
2009	May 31	Jimmie Johnson	Hendrick Motorsports	Chevrolet	400	400 (643.737)	3:28:16	115.237	Report
2010	May 16	Kyle Busch	Joe Gibbs Racing	Toyota	400	400 (643.737)	3:06:21	128.79	Report
2011 *	May 15	Matt Kenseth	Roush Fenway Racing	Ford	400	400 (643.737)	3:11:07	125.578	Report
2012	June 3	Jimmie Johnson	Hendrick Motorsports	Chevrolet	400	400 (643.737)	3:15:23	122.835	Report
