Date	Cover model	Centerfold model	Interview subject	20 Questions
1-88	none	Kimberley Conrad	Arnold Schwarzenegger	Susan Dey
2-88	Sandy Greenberg	Kari Kennell	Oliver Stone	Harold Washington
3-88	Terri Lynn Doss	Susie Owens	Billy Crystal	Tom Waits
4-88	Vanity	Eloise Broady	Tom Clancy	Harrison Ford
5-88	Laurie Carr	Diana Lee	Don King	Teri Garr
6-88	India Allen	Emily Arth	Chevy Chase	Theresa Russell
7-88	Cindy Crawford	Terri Lynn Doss	Paul Hogan	Judge Reinhold
8-88	Kimberley Conrad	Helle Michaelsen	Harry Edwards	Harvey Fierstein
9-88	Jessica Hahn	Laura Richmond	Yasser Arafat	Tracey Ullman
10-88	Terri Lynn Doss	Shannon Long	Roger Craig	Morton Downey Jr.
11-88	Laura Richmond	Pia Reyes	Bruce Willis	John Cleese
12-88	Kata Kärkkäinen	Kata Kärkkäinen	Cher	Gene Simmons
