Year	Award Ceremony	Category	Nominee	Result
2008	Tony Award	Best Musical	Best Musical	Nominated
2008	Tony Award	Best Book of a Musical	Douglas Carter Beane	Nominated
2008	Tony Award	Best Performance by a Leading Actress in a Musical	Kerry Butler	Nominated
2008	Tony Award	Best Choreography	Dan Knechtges	Nominated
2008	Drama Desk Award	Outstanding Musical	Outstanding Musical	Nominated
2008	Drama Desk Award	Outstanding Book of a Musical	Douglas Carter Beane	Won
2008	Drama Desk Award	Outstanding Actor in a Musical	Cheyenne Jackson	Nominated
2008	Drama Desk Award	Outstanding Featured Actress in a Musical	Mary Testa	Nominated
2008	Drama Desk Award	Outstanding Director of a Musical	Christopher Ashley	Nominated
2008	Drama Desk Award	Outstanding Choreography	Dan Knechtges	Nominated
