Round	Race	Circuit	Date	Event	Winning driver
1	Int. ADAC-Preis Hockenheim	Hockenheimring	27 April	Sprint Race	Laurent Aiello Laurent Aiello
2	Bergischer Löwe Zolder	Zolder	11 May	Sprint Race	Joachim Winkelhock Joachim Winkelhock
3	75. Eifelrennen	Nürburgring	25 May	Sprint Race	Laurent Aiello Laurent Aiello
4	70. Geburstags des Sachsenringen	Sachsenring	15 June	Sprint Race	Johnny Cecotto Johnny Cecotto
5	55. Int. ADAC Norisring Rennen	Norisring	29 June	Sprint Race	Joachim Winkelhock Joachim Winkelhock
6	ADAC Wunstorf	Wunstorf	13 July	Sprint Race	Laurent Aiello Laurent Aiello
7	Int. ADAC Preis von Zweibrücken	Zweibrücken	10 August	Sprint Race	Laurent Aiello Emanuele Pirro
8	Int. ADAC Alpentrophäe	Salzburgring	24 August	Sprint Race	Laurent Aiello Laurent Aiello
9	Int. ADAC-Preis Regio Ring Lahr	Regio-Ring	7 September	Sprint Race	Johnny Cecotto Joachim Winkelhock
10	24. ADAC Bilstein Supersprint	Nürburgring	5 October	Sprint Race	Laurent Aiello Laurent Aiello
