Status	Name	First Performance	Last Performance	Style
Original Cast	Rhys Kosakowski	13 November 2007	19 April 2009	Ballet
Original Cast	Lochlan Denholm	15 November 2007	1 November 2008	Street
Original Cast	Rarmian Newton	16 November 2007	11 October 2008	Ballet
Original Cast	Nick Twiney	12 January 2008	20 May 2008	Ballet
Past Replacement	Corey Snide	8 December 2007 February 2008	19 January 2008 March 2008	Ballet
Final Cast	Dayton Tavares	24 May 2008	13 June 2009	Ballet
Final Cast	Joshua Waiss-Gates	20 June 2008	12 June 2009	Ballet
Final Cast	Michael Dameski	16 October 2008	13 June 2009	Ballet
Final Cast	Joshua Denyer	6 November 2008	14 June 2009	Street
Final Cast	Daniel Russell	25 April 2009	11 June 2009	Ballet
