Name	#	Position	Height	Weight	Year	Home Town	High School
Benny Anders	32	Guard-Forward	6–5	188	Freshman	Bernice, LA	Bernice
Dan Bunce	50	Center	7–0	235	Sophomore (RS)	Conroe, TX	Conroe
David Bunce	52	Center	6–11	225	Junior	Conroe, TX	Conroe
Eric Davis	12	Guard	6–2	180	Senior	Chicago, IL	Amundsen
Eric Dickens	14	Guard	6–1	168	Freshman	Houston, TX	Madison
Clyde Drexler	22	Forward	6–6	205	Sophomore	Houston, TX	Sterling
Reid Gettys	44	Guard-Forward	6–6	190	Freshman	Houston, TX	Memorial
Larry Micheaux	40	Forward-Center	6–9	220	Junior	Houston, TX	Worthing
Akeem Olajuwon	34	Center	7–0	235	Freshman	Lagos, Nigeria	Muslim Teachers College
Gary Orsak	35	Forward	6–7	200	Freshman	Alvin, Texas	Alvin
Rodney Parker	10	Guard	6–0	200	Senior	Houston, TX	Davis
Dave Rose	24	Guard	6–3	185	Senior (RS)	Houston, TX	Northbrook / Dixie JC
Lynden Rose	0	Guard	6–3	175	Senior	Nassau, Bahamas	Jackson
Bryan Williams	54	Forward	6–7	215	Junior	Inglewood, CA	Palisades
Rob Williams	20	Guard	6–2	175	Junior	Houston, TX	Milby
