Manufacturer	Model	Kit/Factory	Wing	Seats
Aeroprakt	A-22 "Foxbat"	Factory	High Wing	2
Allegro	Allegro 2000 and Allegro 2007	Approved Kit and Factory Built	High Wing	2
Evektor	SportStar	Factory	Low	2
Jabiru	J120	Factory	High	2
Jabiru	J160	Both	High	2
Jabiru	J170	Both	High	2
Jabiru	J230	Both	High	2
Jabiru	J250	Kit	High	2
Jabiru	UL-D	Kit	High	2
Pipistrel	Sinus	Factory & Kit Built Approved	High Wing	2
Pipistrel	Virus - Virus SW (Short Wing)	Factory & Kit Built Approved	High Wing	2
Savage Classic, Savage Cruiser, Savage Cub	Cub	Factory & Kit Built Approved	High Wing	2
TL 2000 Sting Carbon	Sting	Approved Factory Built	Low Wing	2
Raj Hamsa Ultralights	X-Air Hanuman	Approved Kit or LSA	High Wing	2
X-Air Standard	X-Air Standard	Approved Kit	High Wing	2
