Country	Freedom in the World 2013	2013 Index of Economic Freedom	2013 Press Freedom Index	2012 Democracy Index
Afghanistan	5 not free	n/a	4 difficult situation	5 authoritarian regime
Albania	3 partly free	3 moderately free	3 noticeable problems	4 hybrid regime
Algeria	5 not free	5 repressed	4 difficult situation	5 authoritarian regime
Andorra	1 free	n/a	1 good situation	n/a
Angola	5 not free	5 repressed	3 noticeable problems	5 authoritarian regime
Argentina	1 free	5 repressed	2 satisfactory situation	2 flawed democracy
Armenia	3 partly free	3 moderately free	3 noticeable problems	4 hybrid regime
Australia	1 free	1 free	1 good situation	1 full democracy
Austria	1 free	2 mostly free	1 good situation	1 full democracy
Azerbaijan	5 not free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Bahamas	1 free	2 mostly free	2 satisfactory situation	n/a
Bahrain	5 not free	2 mostly free	5 very serious situation	5 authoritarian regime
Bangladesh	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Barbados	1 free	3 moderately free	2 satisfactory situation	n/a
Belarus	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Belgium	1 free	3 moderately free	1 good situation	1 full democracy
Belize	1 free	4 mostly unfree	2 satisfactory situation	n/a
Benin	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Bhutan	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Bolivia	3 partly free	5 repressed	3 noticeable problems	4 hybrid regime
Bosnia and Herzegovina	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Botswana	1 free	1 mostly free	2 satisfactory situation	2 flawed democracy
Brazil	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Brunei	5 not free	n/a	4 difficult situation	n/a
Bulgaria	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Burkina Faso	3 partly free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Burma	5 not free	5 repressed	4 difficult situation	5 authoritarian regime
Burundi	3 partly free	5 repressed	4 difficult situation	5 authoritarian regime
Cambodia	5 not free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Cameroon	5 not free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Canada	1 free	1 mostly free	1 good situation	1 full democracy
Cape Verde	1 free	3 moderately free	1 good situation	2 flawed democracy
Central African Republic	3 partly free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Chad	5 not free	5 repressed	3 noticeable problems	5 authoritarian regime
Chile	1 free	2 mostly free	3 noticeable problems	2 flawed democracy
China	5 not free	4 mostly unfree	5 very serious situation	5 authoritarian regime
Colombia	3 partly free	3 moderately free	4 difficult situation	2 flawed democracy
Comoros	3 partly free	5 repressed	2 satisfactory situation	5 authoritarian regime
Costa Rica	1 free	3 moderately free	1 good situation	1 full democracy
Congo, Democratic Republic of the	5 not free	5 repressed	4 difficult situation	5 authoritarian regime
Congo, Republic of the	5 not free	5 repressed	3 noticeable problems	5 authoritarian regime
