Rider	Manufacturer	Laps	Time/Retired	Grid
Gábor Talmácsi	Aprilia	19	42:50.831	2
Tomoyoshi Koyama	KTM	19	+6.753	6
Héctor Faubel	Aprilia	19	+7.793	1
Joan Olivé	Aprilia	19	+8.180	8
Sergio Gadea	Aprilia	19	+8.947	11
Lukáš Pešek	Derbi	19	+9.935	7
Simone Corsi	Aprilia	19	+10.132	5
Mattia Pasini	Aprilia	19	+10.335	10
Bradley Smith	Honda	19	+23.426	15
Alexis Masbou	Honda	19	+24.808	12
Nicolás Terol	Derbi	19	+24.909	13
Pablo Nieto	Aprilia	19	+26.194	9
Stefan Bradl	Aprilia	19	+29.490	19
Mike Di Meglio	Honda	19	+29.775	18
Esteve Rabat	Honda	19	+31.011	17
Stefano Bianco	Aprilia	19	+35.455	24
Randy Krummenacher	KTM	19	+35.829	23
Andrea Iannone	Aprilia	19	+54.666	21
Lorenzo Zanetti	Aprilia	19	+56.956	26
Simone Grotzkyj	Aprilia	19	+57.356	30
Roberto Tamburini	Aprilia	19	+1:05.426	20
Danny Webb	Honda	19	+1:08.541	25
Robert Muresan	Derbi	19	+1:08.549	31
Joey Litjens	Honda	19	+1:19.477	27
Cyril Carrillo	Honda	19	+1:22.382	29
Stevie Bonsey	KTM	19	+1:30.374	28
Ferruccio Lamborghini	Aprilia	19	+1:33.736	33
Raffaele de Rosa	Aprilia	19	+1:41.013	14
Dino Lombardi	Honda	18	Retirement	32
Sandro Cortese	Aprilia	18	Retirement	3
Pol Espargaró	Aprilia	15	Accident	4
Dominique Aegerter	Aprilia	5	Retirement	22
Michael Ranseder	Derbi	0	Accident	16
