Rank	Place	County	Per Capita Income	Median House- hold Income	Population	Number of Households
1	Incline Village-Crystal Bay	Washoe County	$52,521	$69,447	9952	4176
2	Kingsbury	Douglas County	$41,451	$59,511	2624	1176
3	Mount Charleston	Clark County	$38,821	$63,125	285	133
4	Verdi-Mogul	Washoe County	$38,233	$67,708	2949	1159
5	Zephyr Cove-Round Hill Village	Douglas County	$37,218	$60,851	1649	798
6	Summerlin	Clark County	$33,017	$64,784	3735	1567
7	Blue Diamond	Clark County	$30,479	$54,091	282	118
8	Minden	Douglas County	$30,405	$56,795	2836	1166
9	Boulder City	Clark County	$29,770	$50,523	14966	6385
10	Spanish Springs	Washoe County	$26,908	$69,451	9018	3014
11	Henderson	Clark County	$26,815	$55,949	175381	66331
12	Spring Valley	Clark County	$26,321	$48,563	117390	47964
13	Enterprise	Clark County	$25,063	$50,667	14676	5917
14	Johnson Lane	Douglas County	$24,247	$59,130	4837	1786
15	Virginia City	Storey County	$23,765	$45,441	2533	1064
16	Indian Hills	Douglas County	$23,027	$56,109	4407	1661
17	Reno	Washoe County	$22,520	$40,350	180480	73904
18	Goodsprings	Clark County	$22,282	$40,430	232	107
19	Las Vegas	Clark County	$22,060	$44,069	478434	176750
20	Smith Valley	Lyon County	$21,940	$46,121	1425	552
21	Lemmon Valley-Golden Valley	Washoe County	$21,820	$52,861	6855	2418
22	Winnemucca	Humboldt County	$21,441	$46,699	7174	2736
23	Paradise	Clark County	$21,258	$39,376	186070	77209
24	Sparks	Washoe County	$21,122	$45,745	66346	24601
25	Laughlin	Clark County	$21,097	$36,885	7076	3177
26	Carson City	Carson City	$20,943	$41,809	52457	20171
27	Cal-Nev-Ari	Clark County	$20,870	$42,563	278	154
28	Gardnerville Ranchos	Douglas County	$20,856	$48,795	11054	4003
29	Gardnerville	Douglas County	$20,670	$41,204	3357	1473
30	Winchester	Clark County	$20,614	$32,251	26958	11986
31	Spring Creek	Elko County	$20,606	$60,109	10548	3399
32	Cold Springs	Washoe County	$20,561	$54,511	3834	1316
33	Caliente	Lincoln County	$20,555	$25,833	1123	408
34	Goldfield	Esmeralda County	$20,320	$32,969	449	223
35	Mesquite	Clark County	$20,191	$40,392	9389	3498
36	Elko	Elko County	$20,101	$48,608	16708	6200
37	Searchlight	Clark County	$19,606	$24,407	576	315
38	Carlin	Elko County	$19,377	$49,571	2161	792
39	Yerington	Lyon County	$18,640	$31,151	2883	1203
40	Fernley	Lyon County	$18,622	$44,695	8543	3151
41	Dayton	Lyon County	$18,417	$43,599	5907	2198
42	Tonopah	Nye County	$18,256	$37,401	2627	1109
43	Hawthorne	Mineral County	$17,830	$34,413	3311	1465
44	Pahrump	Nye County	$17,708	$34,860	24631	10153
45	Moapa Town	Clark County	$17,587	$48,365	928	273
46	Sandy Valley	Clark County	$17,439	$43,663	1804	714
47	Lovelock	Pershing County	$17,233	$34,563	2003	778
48	Ely	White Pine County	$17,013	$36,408	4041	1727
49	Battle Mountain	Lander County	$16,975	$42,981	2871	1053
50	Beatty	Nye County	$16,971	$41,250	1154	535
51	Whitney	Clark County	$16,969	$36,536	18273	7090
52	Fallon	Churchill County	$16,919	$35,935	7536	3004
53	Wells	Elko County	$16,835	$35,870	1346	525
54	Bunkerville	Clark County	$16,820	$45,076	1014	258
55	Moapa Valley	Clark County	$16,696	$39,942	5784	1934
56	Sunrise Manor	Clark County	$16,659	$41,066	156120	53745
57	Silver Springs	Lyon County	$16,576	$34,427	4708	1766
58	Stateline	Douglas County	$16,084	$28,641	1215	510
59	North Las Vegas	Clark County	$16,023	$46,057	115488	34018
60	McGill	White Pine County	$15,643	$32,039	1054	448
61	Gabbs	Nye County	$15,322	$28,500	318	133
62	Sun Valley	Washoe County	$15,171	$41,346	19461	6380
63	Gerlach-Empire	Washoe County	$14,793	$35,089	499	234
64	Wadsworth	Washoe County	$14,756	$31,198	881	328
65	Indian Springs	Clark County	$14,687	$40,966	1302	526
66	Sutcliffe	Washoe County	$13,629	$31,250	281	105
67	Nellis Air Force Base	Clark County	$13,601	$33,118	8896	2873
68	Jackpot	Elko County	$13,261	$30,488	1326	480
69	West Wendover	Elko County	$12,013	$34,116	4721	1363
70	Fallon Station	Churchill County	$11,719	$34,236	1265	358
71	Schurz	Mineral County	$10,886	$24,265	721	281
72	Nixon	Washoe County	$9,926	$25,417	418	132
73	Owyhee	Elko County	$9,869	$23,214	1017	323
