Team	Truck(s)	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief
Brad Keselowski Racing	Ford F-150	Ross Chastain	Melon 1 / Cooper Standard	Brad Keselowski	Chad Kendrick
Brad Keselowski Racing	Ford F-150	Ryan Blaney	Cooper Standard	Brad Keselowski	Doug Randolph
Chris Fontaine, Inc.	Chevrolet Silverado	Mike Harmon	Beaver Bail Bonds	Chris Fontaine	Kevin Ingram
Hillman Racing	Chevrolet Silverado	Jeff Agnew	Friends of Coal	Mike Hillman	Doug Weddle
JJC Racing	Ram 1500	Jennifer Jo Cobb	Koma Unwind Relaxation Drink	Jennifer Jo Cobb	Dan Kolanda
Kyle Busch Motorsports	Toyota Tundra	Joey Coulter	GunBroker.com / Darrell Gwynn	Kyle Busch	Harold Holly
Kyle Busch Motorsports	Toyota Tundra	Kyle Busch / Erik Jones Chad Hackenbracht	Toyota Care / Toyota Tastee Apple / Ingersoll Rand	Kyle Busch	Ryan Fugle
Kyle Busch Motorsports	Toyota Tundra	Darrell Wallace, Jr. (R)	Camping World / Good Sam	Kyle Busch	Jerry Baxter
Norm Benning Racing	Chevrolet Silverado	Norm Benning	Stone Mountain Guns & Gold	Norm Benning	Gary Ritter
NTS Motorsports	Chevrolet Silverado	Ron Hornaday, Jr.	Smokey Mountain Herbal Snuff	Joe Denette	Bruce Cook
NTS Motorsports	Chevrolet Silverado	Brennan Newberry (R)	Qore-24	Bob Newberry	Eddie Pardue
Red Horse Racing	Toyota Tundra	John Wes Townley	Zaxby's	Tom DeLoach	Mike Beam
Red Horse Racing	Toyota Tundra	Timothy Peters	Parts Plus	Tom DeLoach	Butch Hylton
Red Horse Racing	Toyota Tundra	Germán Quiroga (R)	Otter Box	Tom DeLoach	Dan Stillman
Richard Childress Racing	Chevrolet Silverado	Ty Dillon	Tracker Boats / Arctic Cat	Richard Childress	Marcus Richmond
Richard Childress Racing	Chevrolet Silverado	Brendan Gaughan	South Point Hotel, Casino & Spa	Richard Childress	Shane Wilson
RSS Racing	Chevrolet Silverado	Ryan Sieg	Pull-A-Part	Pam Sieg	Kevin Starland
RSS Racing	Chevrolet Silverado	Chris Jones	n/a	Pam Sieg	Tony Wilson
Sharp-Gallagher Racing	Chevrolet Silverado	Max Gresham	Made in USA / Amwins	Eddie Sharp	Chris Showalter
SS-Green Light Racing	Toyota Tundra	Caleb Roark	Front Row Tailgating	Ken Smith	Daniel Szymkowiak
SS-Green Light Racing	Toyota Tundra	Matt Kurzejewski	Silver Sevens	Bobby Dotter	Cal Boprey
T3R2 Racing	Ford F-150	Bryan Silas	Bell Trucks America	Chris Baluch	Gary Cogswell
ThorSport Racing	Toyota Tundra	Matt Crafton	Menards	Rhonda Thorson	Carl Joiner
ThorSport Racing	Toyota Tundra	Johnny Sauter	Carolina Nut Co. / Curb Records	Mike Curb	Dennis Conner
Turn One Racing	Chevrolet Silverado	Dakoda Armstrong	WinField	Vickie Compton	Doug George
Turner Scott Motorsports	Chevrolet Silverado	Jeb Burton (R)	Arrowhead Cigarettes	Harry Scott, Jr.	Mike Hillman, Jr.
Turner Scott Motorsports	Chevrolet Silverado	James Buescher	Rheem	Steve Turner	Michael Shelton
Turner Scott Motorsports	Chevrolet Silverado	Miguel Paludo	Duroline / AccuDoc Solutions	Steve Turner	Jeff Hensley
