Week	Date	Opponent	Result	Attendance
1	September 19, 1971	San Francisco 49ers	W 20-17	56,990
2	September 26, 1971	at Los Angeles Rams	T 20-20	57,895
3	October 3, 1971	at Detroit Lions	L 41-38	54,418
4	October 10, 1971	St. Louis Cardinals	L 26-9	58,850
5	October 17, 1971	Los Angeles Rams	L 24-16	58,850
6	October 24, 1971	New Orleans Saints	W 28-6	58,850
7	October 31, 1971	at Cleveland Browns	W 31-14	76,825
8	November 7, 1971	at Cincinnati Bengals	W 9-6	59,604
9	November 14, 1971	New York Giants	L 21-17	58,850
10	November 22, 1971	Green Bay Packers	W 28-21	58,850
11	November 28, 1971	at Minnesota Vikings	L 24-7	49,784
12	December 5, 1971	Oakland Raiders	W 24-13	58,850
13	December 12, 1971	at San Francisco 49ers	L 24-3	44,582
14	December 19, 1971	at New Orleans Saints	W 24-20	75,954
