Sambalpuri Cinema	Kosal	Western Odisha	Sitalsasthi Carnival	Sambalpuri Language	Sambalpuri Saree
Rourkela	Rajgangpur	Khariar	Khariar Road	Sambalpur University	Veer Surendra Sai
Titlagarh	Sonepur	Brajarajnagar	Kantabanji	Sambalpur District	Veer Surendra Sai University of Technology, Burla
Binika	Phulabani	Sundergarh	Boudh	Bhima Bhoi	Ghess
Panposh	Padmapur	Deogarh	G. Udayagiri	Satya Mahima Dharma	Kosal State Movement
Patnagarh	Belpahar	Bhawanipatna	Tebhapadar	Maa Samaleswari	Burla, India
Mukhiguda	Kansbahal	Rairakhol	Subalaya	Nuakhai	Hirakud Dam
Kansbahal	Tensa	Junagarh	Kesinga	Mahima	Hirakud
Hatibandha	Tarbha	Birmaharajpur	Luisinga	Samaleswari Temple	Sarat Pujari
Bargarh	Barapali	Khaliapali	Biramitrapur	Veer Surendra Sai Medical College	Farmers' suicide in Western Odisha
Raurkela Industrial Township	OCL Industrial Township	Bhukha	Balangir Town	Jharsuguda	National Institute of Technology, Rourkela
