Game	February	Opponent	Score	Record	Points
52	3	Chicago Black Hawks	6–0	30–10–12	72
53	5	@ Toronto Maple Leafs	7–5	31–10–12	74
54	7	Atlanta Flames	7–4	32–10–12	76
55	10	Washington Capitals	9–2	33–10–12	78
56	12	@ New York Islanders	1–2	33–11–12	78
57	14	St. Louis Blues	6–4	34–11–12	80
58	17	New York Rangers	7–1	35–11–12	82
59	19	@ Montreal Canadiens	2–5	35–12–12	82
60	20	Buffalo Sabres	4–2	36–12–12	84
61	24	@ Buffalo Sabres	0–2	36–13–12	84
62	26	@ St. Louis Blues	5–1	37–13–12	86
63	27	@ Colorado Rockies	4–3	38–13–12	88
