Sixes	Player	Opponent	Venue	Date
8	Imran Nazir	Zimbabwe	Kingston	21-03-2007
8	Adam Gilchrist	Sri Lanka	Bridgetown	29-04-2007
7	Herschelle Gibbs	Netherlands	Basseterre	16-03-2007
7	Brad Hodge	Netherlands	Basseterre	18-03-2007
7	Sanath Jayasuriya	Bangladesh	Port of Spain	21-03-2007
7	Yuvraj Singh	Bermuda	Port of Spain	19-03-2007
5	Jacques Kallis	Netherlands	Basseterre	16-03-2007
5	AB de Villiers	West Indies	St. George's	10-04-2007
5	Mark Boucher	West Indies	St. George's	10-04-2007
5	Brendon McCullum	Canada	Gros Islet	22-03-2007
5	Craig McMillan	Kenya	Gros Islet	20-03-2007
5	Ricky Ponting	Scotland	Basseterre	14-03-2007
5	Shivnarine Chanderpaul	Sri Lanka	Georgetown	01-04-2007
Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com	Source: Cricinfo.com
