Res.	Record	Opponent	Method	Round
Loss	42-20	Andre Winner	Decision (unanimous)	3
Loss	42–19	Justin Gaethje	KO (punches)	1
Loss	42–18	Jonatas Novaes	TKO (head kick and punches)	1
Win	42–17	Kevin Knabjian	Submission (guillotine choke)	1
Loss	41–17	Jamie Varner	Submission (punches)	1
Loss	41–16	Ronys Torres	Submission (punches)	1
Loss	41–15	Tatsuya Kawajiri	TKO (punches)	1
Loss	41–14	Brian Cobb	TKO (punches)	1
Win	41–13	Matt Veach	Submission (armbar)	1
Win	40–13	Carlo Prater	Submission (rear naked choke)	1
Win	39–13	Dennis Bermudez	Submission (rear naked choke)	1
Win	38–13	Charles Bennett	Submission (guillotine choke)	1
Win	37–13	Derrick Noble	Technical submission (rear-naked choke)	2
Loss	36–13	Freddy Sandoval	KO (knee)	1
Loss	36–12	Kyle Baker	TKO (punches)	1
Loss	36–11	Nik Lentz	Decision (unanimous)	3
Loss	36–10	Tyler Stinson	TKO (punches)	1
Loss	36–9	Ferrid Kheder	KO (punches)	3
Win	36–8	Jason MacKay	Submission (triangle choke)	1
Loss	35–8	Jose Cortez	Decision (split)	3
Loss	35–7	Jesse Taylor	TKO (punches)	1
Win	35–6	Joe Manzello	Submission (rear naked choke)	1
Loss	34–6	Richard Villes	TKO (punch to the body)	2
Win	34–5	Jeff Horlacher	Submission (guillotine choke)	1
Win	33–5	Lim Jae-Suk	Submission (guillotine choke)	1
Win	32–5	Mark Weir	Submission (rear naked choke)	1
Win	31–5	Anthony Lapsley	Submission (rear-naked choke)	1
Win	30–5	Keita Nakamura	Decision (unanimous)	3
Loss	29–5	Karo Parisyan	Decision (unanimous)	3
Win	29–4	Kurt Pellegrino	Submission (rear naked choke)	3
Loss	28–4	Josh Burkman	Submission (guillotine choke)	1
Win	28–3	Josh Koscheck	Technical submission (rear naked choke)	3
Win	27–3	Josh Neer	Technical submission (rear naked choke)	1
Win	26–3	Brandon Melendez	Submission (rear naked choke)	1
Win	25–3	Robert Briggs	TKO (corner stoppage)	1
Loss	24–3	Nick Diaz	TKO (punches)	1
Win	24–2	Nuri Shakir	Submission	2
Win	23–2	Kenny Florian	Decision	3
Win	22–2	Kyle Brees	TKO (punches)	2
Win	21–2	Fabio Holanda	Submission (rear naked choke)	2
Win	20–2	Shaun Beckett	Submission (rear naked choke)	2
Win	19–2	Carlo Prater	Submission (guillotine choke)	3
Win	18–2	Greg Bell	Submission (choke)	3
Win	17–2	Dennis Hallman	Decision (split)	3
Loss	16–2	Landon Showalter	Submission (triangle choke)	1
Win	16–1	Shaun Beckett	Submission (choke)	2
Win	15–1	John Lansing	Decision (unanimous)	3
Win	14–1	Edwin Dewees	Decision	3
Win	13–1	John Lansing	Submission (armbar)	2
Loss	12–1	Edwin Dewees	Decision (split)	3
Win	12–0	Kimo Stant	Submission (armbar)	1
Win	11–0	Maurice Wilson	Submission (rear naked choke)	1
Win	10–0	Rock Lima	Submission (choke)	1
Win	9–0	Jerry Parsons	Submission (choke)	1
Win	8–0	Cedric Marks	Decision (unanimous)	3
Win	7–0	Michael Chavez	TKO (submission to punches)	1
Win	6–0	Ryan Brown	KO	1
Win	5–0	Bill Cameron	Decision	3
Win	4–0	Jeff Horlacher	Submission (choke)	1
Win	3–0	Owen Phelps	Submission (choke)	2
Win	2–0	Jamie Clark	Submission (choke)	1
Win	1–0	Shawn Polso	Decision	3
