Tie no	Home team	Score	Away team	Date
1	Blackpool	2–1	Chesterfield	27 January 1968
2	Bournemouth & Boscombe Athletic	0–0	Liverpool	27 January 1968
Replay	Liverpool	4–1	Bournemouth & Boscombe Athletic	30 January 1968
3	Barrow	1–2	Leicester City	27 January 1968
4	Bristol City	0–0	Bristol Rovers	27 January 1968
Replay	Bristol Rovers	1–2	Bristol City	30 January 1968
5	Burnley	1–3	West Ham United	27 January 1968
6	Southampton	1–1	Newport County	27 January 1968
Replay	Newport County	2–3	Southampton	30 January 1968
7	Watford	0–1	Sheffield United	27 January 1968
8	Walsall	1–1	Crystal Palace	27 January 1968
Replay	Crystal Palace	1–2	Walsall	31 January 1968
9	Nottingham Forest	4–2	Bolton Wanderers	27 January 1968
10	Aston Villa	3–0	Millwall	27 January 1968
11	Sheffield Wednesday	3–0	Plymouth Argyle	27 January 1968
12	Middlesbrough	1–1	Hull City	27 January 1968
Replay	Hull City	2–2	Middlesbrough	31 January 1968
2nd replay	Middlesbrough	1–0	Hull City	7 February 1968
13	Swindon Town	1–0	Blackburn Rovers	27 January 1968
14	Shrewsbury Town	1–1	Arsenal	27 January 1968
Replay	Arsenal	2–0	Shrewsbury Town	30 January 1968
15	Doncaster Rovers	0–2	Swansea Town	27 January 1968
16	Tranmere Rovers	2–1	Huddersfield Town	27 January 1968
17	Newcastle United	0–1	Carlisle United	27 January 1968
18	Manchester City	0–0	Reading	27 January 1968
Replay	Reading	0–7	Manchester City	31 January 1968
19	Queens Park Rangers	1–3	Preston North End	27 January 1968
20	Fulham	4–2	Macclesfield Town	27 January 1968
21	Coventry City	3–0	Charlton Athletic	27 January 1968
22	Manchester United	2–2	Tottenham Hotspur	27 January 1968
Replay	Tottenham Hotspur	1–0	Manchester United	31 January 1968
23	Norwich City	1–1	Sunderland	27 January 1968
Replay	Sunderland	0–1	Norwich City	31 January 1968
24	Chelsea	3–0	Ipswich Town	27 January 1968
25	Halifax Town	2–4	Birmingham City	27 January 1968
26	Southport	0–1	Everton	27 January 1968
27	Leeds United	2–0	Derby County	27 January 1968
28	Stoke City	4–1	Cardiff City	27 January 1968
29	Rotherham United	1–0	Wolverhampton Wanderers	27 January 1968
30	Peterborough United	0–1	Portsmouth	27 January 1968
31	Colchester United	1–1	West Bromwich Albion	27 January 1968
Replay	West Bromwich Albion	4–0	Colchester United	31 January 1968
32	Orient	1–0	Bury	27 January 1968
