Institution	Location	Founded	Type	Enrollment	Joined	Left	Nickname	Primary Conference when joining the MSFA	Current Primary Conference
University of Findlay	Findlay, Ohio	1882	Private	4600	1994-95	1997-98	Oilers	American Mideast	GLIAC (NCAA Division II)
Geneva College	Beaver Falls, Pennsylvania	1848	Private	1791	1994-95	2006-07	Golden Tornadoes	American Mideast	Presidents' (PAC) (NCAA Division III)
Iowa Wesleyan College	Mount Pleasant, Iowa	1842	Private	850	1996-97	2011-12	Tigers	MCC	NCAA D-III Independent
Lindenwood University	St. Charles, Missouri	1827	Private	17351	1994-95	1995-96	Lions	American Midwest	MIAA (NCAA Division II)
Malone University	Canton, Ohio	1892	Private	2559	1994-95	2010-11	Pioneers	American Mideast	GLIAC (NCAA Division II)
McKendree University	Lebanon, Illinois	1828	Private	3220	1998-99	2010-11	Bearcats	American Midwest	GLVC (NCAA Division II)
Ohio Dominican University	Columbus, Ohio	1911	Private	3052	2004-05	2008-09	Panthers	American Mideast	GLIAC (NCAA Division II)
Quincy University	Quincy, Illinois	1860	Private	1169	2003-04	2011-12	Hawks	GLVC (NCAA Division II)	GLVC (NCAA Division II)
Tiffin University	Tiffin, Ohio	1888	Private	6816	1994-95	2001-02	Dragons	American Mideast	GLIAC (NCAA Division II)
Trine University	Angola, Indiana	1884	Private	1779	1996-97	2002-03	Thunder	WHAC	MIAA (NCAA Division III)
Urbana University	Urbana, Ohio	1850	Private	1505	1994-95	2007-08	Blue Knights	American Mideast	G-MAC (NCAA Division II)
Walsh University	North Canton, Ohio	1960	Private	2500	1996-97	2010-11	Cavaliers	American Mideast	GLIAC (NCAA Division II)
