Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	77	1:41:49.675	1
Rubens Barrichello	Ferrari	77	+3.363	3
David Coulthard	McLaren - Mercedes	77	+3.940	2
Ralf Schumacher	Williams - BMW	77	+49.687	4
Mika Häkkinen	McLaren - Mercedes	77	+1:10.293	6
Nick Heidfeld	Sauber - Petronas	76	+1 Lap	7
Kimi Räikkönen	Sauber - Petronas	76	+1 Lap	9
Juan Pablo Montoya	Williams - BMW	76	+1 Lap	8
Jacques Villeneuve	BAR - Honda	75	+2 Laps	10
Jean Alesi	Jordan - Honda	75	+2 Laps	12
Pedro de la Rosa	Jaguar - Cosworth	75	+2 Laps	13
Jos Verstappen	Arrows - Asiatech	74	+3 Laps	21
Giancarlo Fisichella	Benetton - Renault	67	Engine	15
Heinz-Harald Frentzen	Prost - Acer	63	Spun off	16
Tarso Marques	Minardi - European	63	Oil Pressure	22
Olivier Panis	BAR - Honda	58	Electrical	11
Jarno Trulli	Jordan - Honda	53	Hydraulics	5
Fernando Alonso	Minardi - European	37	Brakes	18
Jenson Button	Benetton - Renault	34	Spun off	17
Enrique Bernoldi	Arrows - Asiatech	11	Spun off	20
Luciano Burti	Prost - Acer	8	Spun off	19
Eddie Irvine	Jaguar - Cosworth	0	Spun off	14
