Year	Entrant	Chassis	Engine	Points
1951	Iddings	Meyer	Novi V8	0
1952	Merkler Machine Works	Kurtis Kraft	Novi V8	0
1953	Sumar / Chapman Root	Kurtis Kraft	Offenhauser L4	0
1954	Sumar / Chapman Root	Kurtis Kraft	Offenhauser L4	0
1955	Sumar / Chapman Root	Kurtis Kraft	Offenhauser L4	0
1956	Sumar / Chapman Root	Kurtis Kraft	Offenhauser L4	0
1957	Helse / H.H. Johnson	Kurtis Kraft	Offenhauser L4	0
1958	Federal Engineering	Kurtis Kraft	Offenhauser L4	0
1959	Federal Engineering	Kurtis Kraft	Offenhauser L4	0
1960	Bryant Heating	Kurtis Kraft	Offenhauser L4	0
