Date	Time (ET)	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
Sep 2	11:00	1	$215 No Limit Hold'em [6-max]	ezepoker90	$184,388.82*	7,322	$1,464,400.00	[2-Day] event
Sep 2	14:30	2	$215 No Limit Hold'em	ASIAAN	$231,221.20*	10,608	$2,121,600.00	[2-Day] event
Sep 3	11:00	3	$320 Pot Limit Omaha	utvekklo2	$65,717.00*	1,714	$514,200.00	13 h 47 min
Sep 3	14:00	4	$320 No Limit Hold’em Shootout [6-Max]	Raaadzio91	$62,208.36	1,296	$388,800.00	13 h 14 min
Sep 3	17:00	5	$215 No Limit Hold'em Turbo w/Rebuys	RenRad 01 (Mark Darner)	$144,086.07*	1,807 (2834 R, 1,111 A)	$1,150,400.00	04 h 27 min
Sep 4	11:00	6	$215 Pot Limit 5 Card Draw	7PRS	$20,520.00	540	$108,000.00	12 h 30 min
Sep 4	14:00	7	$215 Triple Stud	Falco234	$24,064.00	640	$128,000.00	12 h 22 min
Sep 4	17:00	8	$1,050 No Limit Hold'em	beardo1981	$262,936.70	1,574	$1,574,000.00	[2-Day] event
Sep 5	6:00	9	$265 Pot Limit Omaha [Knockout]	anguila	$40,595.52	1,176	$235,200.00	12 h 37 min
Sep 5	11:00	10	$320 No Limit Hold’em [Ante Up]	GeorgeDanzer (George Danzer)	$69,717.09	1,367	$410,100.00	[2-Day] event
Sep 5	14:00	11	$215 No Limit Hold'em [Heads-Up]	Stunnaf00	$58,634.00*	2,159	$431,800.00	[2-Day] event
Sep 6	6:00	12	$215 Pot Limit Omaha H/L [1 Rebuy/1 Add-on, 6-max]	mikal12345	$43,396.00	555 (301 R, 286 A)	$228,400.00	13 h 3 min
Sep 6	11:00	13	$530 No Limit Hold’em [6-max] [Knockout]	Ajoin21	114,313.09*	1,938	$782,952.00	[2-Day] event
Sep 6	14:00	14	$215 7 Card Stud H/L	E. Katchalov ( Eugene Katchalov )	$24,588.70	655	$131,000.00	10 h 53 min
Sep 7	11:00	15	$215 Pot Limit Omaha [6-max]	cnew27 (Clayton Newman)	$51,391.18*	2,021	$404,200.00	13 h 14 min
Sep 7	14:00	16	$215 No Limit 2-7 Single Draw	(RIP)C.McRae	$17,343.00	423	$84,600.00	11 h 40 min
Sep 7	17:00	17	$320 No Limit Hold’em [10-minute Levels]	Umumba	90,659.14*	2,372	$711,600.00	08 h 19 min
Sep 8	11:00	18	$109 No Limit Hold’em	Kodalite	$140,186.66*	9,959	$995,900.00	15 h 20 min
Sep 8	13:00	19	$320 No Limit Hold’em	danface	$132,436.00	2,794	$838,200.00	15 h 6 min
Sep 8	15:00	20	$215 Fixed Limit Hold’em	dirty.brasil	$31,284.00	869	$173,800.00	11 h 36 min
