Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	16–11–1	Forrest Griffin	Decision (unanimous)	UFC 148	3	5:00	Las Vegas, Nevada, United States
Loss	16–10–1	Antônio Rogério Nogueira	TKO (punches & elbows to the body)	UFC 140	1	3:15	Toronto, Ontario, Canada
Loss	16–9–1	Rashad Evans	TKO (knee to the body & punches)	UFC 133	2	4:48	Philadelphia, Pennsylvania, United States
Win	16–8–1	Ryan Bader	Submission (guillotine choke)	UFC 132	1	1:56	Las Vegas, Nevada, United States
Loss	15–8–1	Matt Hamill	Decision (unanimous)	UFC 121	3	5:00	Anaheim, California , United States
Loss	15–7–1	Forrest Griffin	Decision (unanimous)	UFC 106	3	5:00	Las Vegas, Nevada, United States
Loss	15–6–1	Lyoto Machida	Decision (unanimous)	UFC 84	3	5:00	Las Vegas, Nevada, United States
Draw	15–5–1	Rashad Evans	Decision (unanimous)	UFC 73	3	5:00	Sacramento, California , United States
Loss	15–5	Chuck Liddell	TKO (punches)	UFC 66	3	3:59	Las Vegas, Nevada, United States
Win	15–4	Ken Shamrock	TKO (punches)	Ortiz vs. Shamrock 3: The Final Chapter	1	2:22	Hollywood, Florida , United States
Win	14–4	Ken Shamrock	TKO (elbows)	UFC 61	1	1:18	Las Vegas, Nevada, United States
Win	13–4	Forrest Griffin	Decision (split)	UFC 59	3	5:00	Anaheim, California, United States
Win	12–4	Vitor Belfort	Decision (split)	UFC 51	3	5:00	Las Vegas, Nevada, United States
Win	11–4	Patrick Côté	Decision (unanimous)	UFC 50	3	5:00	Atlantic City, New Jersey , United States
Loss	10–4	Chuck Liddell	KO (punches)	UFC 47	2	0:38	Las Vegas, Nevada, United States
Loss	10–3	Randy Couture	Decision (unanimous)	UFC 44	5	5:00	Las Vegas, Nevada, United States
Win	10–2	Ken Shamrock	TKO (corner stoppage)	UFC 40	3	5:00	Las Vegas, Nevada, United States
Win	9–2	Vladimir Matyushenko	Decision (unanimous)	UFC 33	5	5:00	Las Vegas, Nevada, United States
Win	8–2	Elvis Sinosic	TKO (punches & elbows)	UFC 32	1	3:32	East Rutherford, New Jersey , United States
Win	7–2	Evan Tanner	KO (slam)	UFC 30	1	0:30	Atlantic City, New Jersey, United States
Win	6–2	Yuki Kondo	Submission (cobra choke)	UFC 29	1	1:51	Tokyo, Japan
Win	5–2	Wanderlei Silva	Decision (unanimous)	UFC 25	5	5:00	Tokyo, Japan
Loss	4–2	Frank Shamrock	Submission (punches)	UFC 22	4	4:42	Lake Charles, Louisiana , United States
Win	4–1	Guy Mezger	TKO (punches)	UFC 19	1	9:56	Bay St. Louis, Mississippi , United States
Win	3–1	Jerry Bohlander	TKO (cut)	UFC 18	1	14:31	New Orleans, Louisiana, United States
Win	2–1	Jeremy Screeton	Submission (knees)	West Coast NHB Championships 1	1	0:16	Los Angeles, California, United States
Loss	1–1	Guy Mezger	Submission (guillotine choke)	UFC 13	1	3:00	Augusta, Georgia , United States
Win	1–0	Wes Albritton	TKO (punches)	UFC 13	1	0:31	Augusta, Georgia, United States
