Week	Date	Opponent	Result	Attendance
1	September 4, 1983	at Buffalo Bills	W 12–0	78,715
2	September 11, 1983	New England Patriots	W 34–24	59,343
3	September 19, 1983	at Los Angeles Raiders	L 27–14	57,796
4	September 25, 1983	Kansas City Chiefs	W 14–6	50,785
5	October 2, 1983	at New Orleans Saints	L 17–7	66,489
6	October 9, 1983	Buffalo Bills	L 38–35	59,948
7	October 16, 1983	at New York Jets	W 32–14	58,615
8	October 23, 1983	at Baltimore Colts	W 21–7	32,343
9	October 30, 1983	Los Angeles Rams	W 30–14	72,175
10	November 6, 1983	at San Francisco 49ers	W 20–17	57,832
11	November 13, 1983	at New England Patriots	L 17–6	60,771
12	November 20, 1983	Baltimore Colts	W 37–0	54,482
13	November 28, 1983	Cincinnati Bengals	W 38–14	74,506
14	December 4, 1983	at Houston Oilers	W 24–17	39,434
15	December 10, 1983	Atlanta Falcons	W 31–24	56,725
16	December 16, 1983	New York Jets	W 34–14	59,975
