Heat	Lane	Name	Nationality	Time
8	5	Domenico Fioravanti	Italy	1:01.32
8	1	Daniel Málek	Czech Republic	1:01.56
8	4	Ed Moses	United States	1:01.59
7	7	Károly Güttler	Hungary	1:01.66
7	5	Kosuke Kitajima	Japan	1:01.68
7	3	Morgan Knabe	Canada	1:01.81
7	6	Dmitry Komornikov	Russia	1:01.87
9	8	Marcel Wouda	Netherlands	1:02.00
9	7	Jens Kruppa	Germany	1:02.09
9	4	Roman Sloudnov	Russia	1:02.15
8	3	Brett Petersen	South Africa	1:02.20
9	5	Jarno Pihlava	Finland	1:02.21
9	2	Oleg Lisogor	Ukraine	1:02.24
7	8	Hugues Duboscq	France	1:02.40
8	6	Darren Mew	Great Britain	1:02.42
8	2	Remo Lütolf	Switzerland	1:02.54
6	5	Phil Rogers	Australia	1:02.77
8	8	José Couto	Portugal	1:02.79
6	6	Elvin Chia	Malaysia	1:02.81
9	6	Mark Warnecke	Germany	1:02.85
9	3	Akira Hayashi	Japan	1:02.86
6	4	Patrick Schmollinger	Austria	1:02.87
7	2	Adam Whitehead	Great Britain	1:02.91
6	2	Marek Krawczyk	Poland	1:03.00
7	4	Pat Calhoun	United States	1:03.03
9	1	Patrik Isaksson	Sweden	1:03.05
6	3	Steven Ferguson	New Zealand	1:03.06
7	1	Terence Parkin	South Africa	1:03.11
8	7	Zhu Yi	China	1:03.20
6	7	Vanja Rogulj	Croatia	1:03.58
6	1	Eduardo Fischer	Brazil	1:03.72
6	8	Raiko Pachel	Estonia	1:03.99
5	5	Tal Stricker	Israel	1:03.99
4	3	Valērijs Kalmikovs	Latvia	1:04.02
4	7	Arsenio López	Puerto Rico	1:04.02
3	1	Vadim Tatarov	Moldova	1:04.12
3	4	Francisco Suriano	El Salvador	1:04.31
5	6	Alvaro Fortuny	Guatemala	1:04.35
5	3	Alwin de Prins	Luxembourg	1:04.37
5	2	Yang Shang-Hsuan	Chinese Taipei	1:04.54
4	5	Andrew Bree	Ireland	1:04.58
4	2	Nikola Savčić	Yugoslavia	1:04.64
5	4	Alfredo Jacobo	Mexico	1:04.67
5	8	Iván Rodríguez Mesa	Panama	1:04.68
4	8	Joe Kyong-Fan	South Korea	1:04.71
5	7	Aliaksandr Hukau	Belarus	1:04.96
3	5	Wickus Nienaber	Swaziland	1:04.98
2	4	Juan José Madrigal	Costa Rica	1:05.14
3	2	Jorg Lindemeier	Namibia	1:05.25
3	3	Matthew Kwok Hon Ming	Hong Kong	1:05.28
2	3	Sylvain Fauré	Monaco	1:05.51
4	4	Hjalti Gudmundsson	Iceland	1:05.55
5	1	Sergio Andres Ferreyra	Argentina	1:05.75
3	7	Aleksandr Savitsky	Kazakhstan	1:05.95
2	6	Jean Luc Razakarivony	Madagascar	1:05.97
2	5	Ahmed Al-Kudmani	Saudi Arabia	1:06.07
4	1	Daniel Liew	Singapore	1:06.41
3	8	Krasimir Zahov	Bulgaria	1:07.09
4	6	Yevgeny Petrashov	Kyrgyzstan	1:07.32
3	6	Hakan Kiper	Turkey	1:07.46
1	3	Antonio Leon Candia	Paraguay	1:08.12
2	2	Malick Fall	Senegal	1:08.60
1	5	Kieran Chan	Papua New Guinea	1:13.34
2	7	Karar Samedul Islam	Bangladesh	1:14.93
1	4	Joe Atuhaire	Uganda	1:22.35
2	1	Facinet Bangoura	Guinea	DSQ
