Name A[› ]	Dam or A[› ] Reservoir	GNIS Feature ID # Link A[› ] B[› ]	Elevation A[› ]	Borough or A[› ] Census area
Adak Log Dam	Dam	1417328	feet (m)	Aleutians West (CA)
Akhoik Dam	Dam	1417371	feet (m)	Kodiak Island
Akutan Power Dam	Dam	1417349	feet (m)	Aleutians East
Akutan Water Supply Dam	Dam	1417347	feet (m)	Aleutians East
Alaska Packers Association Chignik Dam	Dam	1417321	feet (m)	Lake and Peninsula
Aleut Creek Dam	Dam	1417269	feet (m)	Aleutians West (CA)
Alitak Cannery Dam Number 1	Dam	1417310	feet (m)	Kodiak Island
Alitak Cannery Dam Number 2	Dam	1417309	feet (m)	Kodiak Island
Alitak Cannery Dam Number 3	Dam	1417308	feet (m)	Kodiak Island
Alitak Cannery Dam Number 4	Dam	1417313	feet (m)	Kodiak Island
City of Angoon Dam	Dam	1417288	feet (m)	Hoonah-Angoon (CA)
Annex Lakes	Reservoir	1417173	feet (m)	Juneau
Annex Lakes Dam	Dam	1417172	feet (m)	Juneau
Apw Dam Number 1	Dam	1417239	feet (m)	Valdez-Cordova (CA)
APW Dam Number 2	Dam	1417276	feet (m)	Valdez-Cordova (CA)
APW Reservoir	Reservoir	1417240	feet (m)	Valdez-Cordova (CA)
APW Reservoir	Reservoir	1417277	feet (m)	Valdez-Cordova (CA)
Aquaculture Dam	Dam	1417199	feet (m)	Valdez-Cordova (CA)
Atka Power Dam	Dam	1417336	feet (m)	Aleutians West (CA)
Atka Water Supply Dam	Dam	1417331	feet (m)	Aleutians West (CA)
Bettinger A Dam	Dam	1417207	feet (m)	Kodiak Island
Lake Bettinger	Reservoir	1417208	feet (m)	Kodiak Island
Lake Bettinger B Dam	Dam	1417241	feet (m)	Kodiak Island
Lake Bettinger C Dam	Dam	1417243	feet (m)	Kodiak Island
Lake Bettinger D Dam	Dam	1417244	feet (m)	Kodiak Island
Lake Bettinger Lower Reservoir	Reservoir	1417242	feet (m)	Kodiak Island
Blue Lake	Reservoir	1420534	feet (m)	Sitka
Blue Lake Dam	Dam	1417171	feet (m)	Sitka
Bonny Rose Lake Dam	Dam	1417326	feet (m)	Aleutians West (CA)
Bradley Lake	Reservoir	1412666	feet (m)	Kenai Peninsula
Bridge Creek Dam	Dam	1417319	feet (m)	Kenai Peninsula
Campbell Lake Dam	Dam	1417217	feet (m)	Anchorage
Campbell Reservoir	Reservoir	1417218	feet (m)	Anchorage
Carlanna Lake Dam	Dam	1417185	feet (m)	Ketchikan Gateway
Cascade Creek Dam	Dam	1417351	feet (m)	Sitka
Cheimoviski Lake	Reservoir	1417212	feet (m)	Valdez-Cordova (CA)
Chena River Lakes Dam	Dam	1417302	feet (m)	Fairbanks North Star
Chester Creek Dam	Dam	1417219	feet (m)	Anchorage
Chester Lake	Reservoir	1417287	feet (m)	P. of Wales-O. Ketchikan (CA)
Chester Lake Dam	Dam	1417286	feet (m)	P. of Wales-O. Ketchikan (CA)
Chester Lake	Reservoir	1421006	feet (m)	P. of Wales-O. Ketchikan (CA)
Chester Lake Dam	Dam	1417193	feet (m)	P. of Wales-O. Ketchikan (CA)
Chiniak Satellite Tracking Station Dam	Dam	1417304	feet (m)	Kodiak Island
Columbia Wards Fisheries Incorporated Dam	Dam	1417348	feet (m)	Lake and Peninsula
Connell Lake	Reservoir	1421171	feet (m)	Ketchikan Gateway
Lake Connell Dam	Dam	1417184	feet (m)	Ketchikan Gateway
Cooper Lake	Reservoir	1417170	feet (m)	Kenai Peninsula
Cooper Lake Dam	Dam	1417169	feet (m)	Kenai Peninsula
Corner Bay Dam	Dam	1417353	feet (m)	Sitka
Country Gardens Nursery Dam	Dam	1417391	feet (m)	Anchorage
Crab Bay Dam Number 3	Dam	1417389	feet (m)	Valdez-Cordova (CA)
Craig Water Supply Dam	Dam	1417395	feet (m)	P. of Wales-O. Ketchikan (CA)
Crystal Lake	Reservoir	1417175	feet (m)	Wrangell-Petersburg (CA)
Crystal Lake Dam	Dam	1417174	feet (m)	Wrangell-Petersburg (CA)
Lake Demarie Dam	Dam	1417341	feet (m)	Aleutians West (CA)
Lower Dewey Lake Forebay	Reservoir	1417267	feet (m)	Skagway
Lower Dewey Lake Forebay Dam	Dam	1417266	feet (m)	Skagway
Lower Dewey Lake Number 1 Dam	Dam	1417182	feet (m)	Skagway
Lower Dewey Reservoir	Reservoir	1417183	feet (m)	Skagway
Upper Dewey Lake Dam	Dam	1417247	feet (m)	Skagway
Upper Dewey Reservoir	Reservoir	1417248	feet (m)	Skagway
Douglas Island Reservoir Dam	Dam	1417291	feet (m)	Juneau
