Week	Date	Opponent	Result	Game Site	Record	Attendance
1	September 3, 2000	at Oakland Raiders	L 6–9	Network Associates Coliseum	0–1	56,373
2	September 10, 2000	New Orleans Saints	L 27–28	Qualcomm Stadium	0–2	51,300
3	September 17, 2000	at Kansas City Chiefs	L 10–42	Arrowhead Stadium	0–3	77,604
4	September 24, 2000	Seattle Seahawks	L 12–20	Qualcomm Stadium	0–4	47,233
5	October 1, 2000	at St. Louis Rams	L 31–57	Trans World Dome	0–5	66,010
6	October 8, 2000	Denver Broncos	L 7–21	Qualcomm Stadium	0–6	56,079
7	October 15, 2000	at Buffalo Bills	L 24–27	Ralph Wilson Stadium	0–7	72,351
8	October 22, 2000	Bye	Bye	Bye	Bye	Bye
9	October 29, 2000	Oakland Raiders	L 13–15	Qualcomm Stadium	0–8	66,659
10	November 5, 2000	at Seattle Seahawks	L 15–17	Husky Stadium	0–9	59,884
11	November 12, 2000	Miami Dolphins	L 7–17	Qualcomm Stadium	0–10	56,896
12	November 19, 2000	at Denver Broncos	L 37–38	Mile High Stadium	0–11	75,218
13	November 26, 2000	Kansas City Chiefs	W 17–16	Qualcomm Stadium	1–11	47,228
14	December 3, 2000	San Francisco 49ers	L 17–45	Qualcomm Stadium	1–12	57,255
15	December 10, 2000	at Baltimore Ravens	L 3–24	PSINet Stadium	1–13	68,805
16	December 17, 2000	at Carolina Panthers	L 22–30	Ericsson Stadium	1–14	72,159
17	December 24, 2000	Pittsburgh Steelers	L 21–34	Qualcomm Stadium	1–15	50,809
