Dance	Best dancer(s)	Best score	Worst dancer(s)	Worst score
Cha-cha-cha Face-off	Kristi Yamaguchi Kristi Yamaguchi	28 30	Penn Jillette Jason Taylor	16 24
Foxtrot	Jason Taylor	28	Monica Seles Adam Carolla	15
Quickstep	Jason Taylor	30	Penn Jillette	17
Mambo	Cristián de la Fuente	29	Monica Seles	15
Jive	Kristi Yamaguchi	30	Marissa Jaret Winokur	19
Tango	Jason Taylor Kristi Yamaguchi	29	Steve Guttenberg Adam Carolla Mario	21
Viennese Waltz	Jason Taylor	29	Priscilla Presley	22
Paso Doble	Kristi Yamaguchi	29	Adam Carolla	19
Rumba	Kristi Yamaguchi	29	Priscilla Presley	21
Samba	Cristián de la Fuente	29	Cristián de la Fuente	21
Freestyle	Kristi Yamaguchi	30	Cristián de la Fuente	26
