Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Mariners	9 - 3	Moyer (1-4)	35,628	14-11
May 2	@ Mariners	3 - 2	Plesac (0-2)	31,355	14-12
May 3	@ Mariners	16 - 10	García (3-1)	22,304	15-12
May 4	Athletics	13 - 4	Halladay (2-2)	20,258	15-13
May 5	Athletics	8 - 2	Escobar (2-1)	20,314	15-14
May 6	Athletics	3 - 2	Carpenter (3-2)	20,310	15-15
May 7	Rangers	9 - 6	Clark (2-3)	22,110	16-15
May 8	Rangers	4 - 3	Wells (4-2)	24,642	16-16
May 9	Rangers	11 - 6	Munro (0-1)	20,374	16-17
May 11	@ Royals	8 - 2	Pittsley (1-2)	12,141	17-17
May 12	@ Royals	7 - 1	Carpenter (3-3)	13,073	17-18
May 13	@ Royals	8 - 2	Rosado (2-2)	19,573	18-18
May 14	Red Sox	5 - 0	Wells (4-3)	22,186	18-19
May 15	Red Sox	6 - 5	Plesac (0-3)	24,579	18-20
May 16	Red Sox	9 - 6	Gross (0-2)	21,094	19-20
May 17	Red Sox	8 - 7	Lloyd (3-2)	20,395	19-21
May 18	Tigers	7 - 5	Thompson (4-5)	20,310	20-21
May 19	Tigers	7 - 3	Wells (4-4)	20,384	20-22
May 20	Tigers	7 - 0	Mlicki (1-4)	21,137	21-22
May 21	@ Red Sox	5 - 2	Escobar (3-2)	27,284	21-23
May 22	@ Red Sox	6 - 4	Carpenter (3-4)	32,038	21-24
May 23	@ Red Sox	10 - 8	Hentgen (4-2)	28,559	21-25
May 24	@ Tigers	12 - 6	Moehler (4-4)	13,038	22-25
May 25	@ Tigers	5 - 3	Mlicki (1-5)	13,087	23-25
May 26	@ Tigers	9 - 5	Blair (1-5)	14,177	24-25
May 28	Yankees	10 - 6	Carpenter (3-5)	30,355	24-26
May 29	Yankees	8 - 3	Hentgen (4-3)	40,175	24-27
May 30	Yankees	8 - 3	Wells (5-5)	39,111	24-28
