Date	Region	Label	Format	Catalog
1976	Australia	CBS	LP	SBP 234929
1976	New Zealand	CBS	LP	SBP 234929
1976	Canada	Columbia	LP	PES 90413
1976	Australia	CBS	CAS	PC 4929
1976	Australia	Summit/Rainbow	CAS	SUL 3002
1977	Australia	CBS	2LP	SBP 241031
1980	Japan	Epic/Sony	LP	25•3P-232
1981	Australia	Harmony	LP	HC 15070
1981	Australia	Harmony	CAS	TCHC 15070
1981	Australia	Summit/Rainbow	CAS	SC 3036
1988	Australia	Columbia/ Sony	CD	463016 2
1988	Australia	CBS/Disctronics	CD	463016 2
1988	Australia	CBS	CAS	463016 4
1991	Australia	Rainbow	CD	RCD 1118
1992	Australia	Rainbow	2CD	2RCD 111/112
1996	Korea	Columbia/Sony	CD	486553.2
1996	Korea	Columbia/Sony	CAS	486553.4
