Name	Height	Position	Year	Home Town
Erlana Larkins	6-1	Forward	Senior	Riviera Beach, FL
Trinity Bursey	5-10	Forward	Sophomore	Sanford, NC
Laura Barry	5-8	Guard	Senior	Cary, NC
Rebecca Gray	5-10	Guard	Freshman	Georgetown, KY
Alex Miller	5-6	Guard	Senior	Durham, NC
Heather Claytor	5-8	Guard	Junior	Grottoes, VA
Iman McFarland	6-3	Forward	Junior	Temple Hills, MD
Cetera DeGraffenreid	5-4	Guard	Freshman	Cullowhee, NC
Meghan Austin	5-7	Guard	Senior	Lynchburg, VA
LaToya Pringle	6-3	Forward / Center	Senior	Fayetteville, NC
Rashanda McCants	6-1	Guard / Forward	Junior	Asheville, NC
Martina Wood	6-2	Forward / Center	Redshirt Sophomore	Charlotte, NC
Italee Lucas	5-8	Guard	Freshman	Las Vegas, NV
Jessica Breland	6-3	Forward	Sophomore	Kelford, NC
