Rider	Manufacturer	Laps	Time/Retired	Grid
Sergio Gadea	Aprilia	18	38:09.44	8
Joan Olive	Derbi	18	+0.932	9
Stefan Bradl	Aprilia	18	+1.660	15
Mike di Meglio	Derbi	18	+1.771	3
Scott Redding	Aprilia	18	+1.819	4
Danny Webb	Aprilia	18	+7.689	5
Simone Corsi	Aprilia	18	+8.684	10
Pol Espargaró	Derbi	18	+8.693	18
Efren Vazquez	Aprilia	18	+9.054	19
Nicolás Terol	Aprilia	18	+10.902	7
Sandro Cortese	Aprilia	18	+10.945	13
Gábor Talmácsi	Aprilia	18	+12.618	2
Stefano Bianco	Aprilia	18	+12.709	12
Andrea Iannone	Aprilia	18	+20.086	17
Michael Ranseder	Aprilia	18	+23.575	22
Bradley Smith	Aprilia	18	+23.890	1
Dominique Aegerter	Derbi	18	+29.406	20
Pablo Nieto	KTM	18	+32.891	16
Takaaki Nakagami	Aprilia	18	+33.346	23
Pere Tutusaus	Aprilia	18	+33.649	26
Lorenzo Zanetti	KTM	18	+36.696	24
Randy Krummenacher	KTM	18	+36.754	25
Robin Lasser	Aprilia	18	+45.317	27
Esteve Rabat	KTM	18	+56.440	11
Louis Rossi	Honda	18	+1:14.502	34
Raffaele de Rosa	KTM	15	Accident	6
Dino Lombardi	Aprilia	11	Mechanical	32
Hugo van den Berg	Aprilia	10	Accident	29
Tomoyoshi Koyama	KTM	8	Accident	21
Stevie Bonsey	Aprilia	5	Accident	14
Jules Cluzel	Loncin	4	Accident	30
Alexis Masbou	Loncin	1	Mechanical	28
Roberto Lacalendola	Aprilia	1	Mechanical	33
Robert Muresan	Aprilia	0	Mechanical	31
