Driver	Constructor	Laps	Time/Retired	Grid
Carlos Reutemann	Ferrari	40	1:45:07.72	2
James Hunt	McLaren - Ford	40	+ 10.71	1
Niki Lauda	Ferrari	40	+ 1:47.51	13
Emerson Fittipaldi	Fittipaldi - Ford	39	+ 1 Lap	16
Gunnar Nilsson	Lotus - Ford	39	+ 1 Lap	10
Renzo Zorzi	Shadow - Ford	39	+ 1 Lap	18
Ingo Hoffmann	Fittipaldi - Ford	38	+ 2 Laps	19
Carlos Pace	Brabham - Alfa Romeo	33	Accident	12
Tom Pryce	Shadow - Ford	33	Engine	5
Hans Binder	Surtees - Ford	32	suspension	20
John Watson	Brabham - Alfa Romeo	30	Accident	7
Jacques Laffite	Ligier - Matra	26	Accident	14
Patrick Depailler	Tyrrell - Ford	23	Accident	6
Mario Andretti	Lotus - Ford	19	Ignition	3
Alex Ribeiro	March - Ford	16	Engine	21
Jochen Mass	McLaren - Ford	12	Accident	4
Ronnie Peterson	Tyrrell - Ford	12	Accident	8
Clay Regazzoni	Ensign - Ford	12	Accident	9
Vittorio Brambilla	Surtees - Ford	11	Accident	11
Jody Scheckter	Wolf - Ford	11	Engine	15
Ian Scheckter	March - Ford	1	Transmission	17
Larry Perkins	BRM	1	Overheating	22
