Name	Nationality	Position	Crewe Alexandra career	Appearances	Goals
Herbert Swindells Category:Articles with hCards	England	FW	1927–1937	280	137
Fred Keenor Category:Articles with hCards	Wales	CB	1931–1934	123	5
George Gilchrist Category:Articles with hCards	England	FB	1934–1946	182	0
Jackie Waring Category:Articles with hCards	England	W	1934–1939	170	67
Fred Chandler Category:Articles with hCards	England	DF/ST	1937–1947	86	22
Ray Ferris Category:Articles with hCards	Northern Ireland	HB	1945–1949	109	23
John Meaney Category:Articles with hCards	England	FB	1946–1954	288	31
Tony Waddington Category:Articles with hCards	England	FB	1946–1953	178	8
Jack Meaney Category:Articles with hCards	England	FB	1947–1954	307	42
Frank Mitcheson Category:Articles with hCards	England	ST	1948–1954	199	37
Tom Briggs Category:Articles with hCards	England	FB	1949–1956	202	2
Jack Basford Category:Articles with hCards	England	ST	1948–1954	154	65
Albert Parker Category:Articles with hCards	England	DF	1948–1951	118	0
Bob Young Category:Articles with hCards	England	FB	1948–1952	155	2
Peter Ellson	England	GK	1949–1956	234	0
Johnny King Category:Articles with hCards	England	ST	1949–1953, 1962–1967	238	60
Danny Smith Category:Articles with hCards	Scotland	W	1949–1952	110	15
Jimmy McGuigan Category:Articles with hCards	Scotland	W	1950–1956	217	34
Alf Lees Category:Articles with hCards	England	CB	1951–1956	192	5
Danny Murphy Category:Articles with hCards	England	FB	1951–1954	107	1
Bryan Williams Category:Articles with hCards	England	FB	1954–1958	150	6
Jimmy Rolfe Category:Articles with hCards	England	W	1955–1958	101	13
Barrie Wheatley Category:Articles with hCards	England	FW	1957–1966	272	58
Eric Barnes Category:Articles with hCards	England	CB	1958–1969	390	2
Don Campbell Category:Articles with hCards	England	DF	1958–1962	170	1
Stan Keery Category:Articles with hCards	England	MF/ST	1958–1965	277	24
Kevin McHale Category:Articles with hCards	England	W	1958–1970	126	23
Chris Riley Category:Articles with hCards	Wales	ST	1958–1964	155	49
Mervyn Jones Category:Articles with hCards	Wales	W	1959–1961	98	16
Bert Llewellyn Category:Articles with hCards	England	ST	1958–1960	106	58
Billy Haydock Category:Articles with hCards	England	ST	1961–1965	152	31
Peter Leigh Category:Articles with hCards	England	FB	1961–1972	473	2
Norman Bodell Category:Articles with hCards	England	DF	1963–1967	109	2
Frank Lord Category:Articles with hCards	England	ST	1961–1963	118	73
Geoff Hickson Category:Articles with hCards	England	GK	1962–1968	114	0
Peter Gowans Category:Articles with hCards	Scotland	ST	1963–1967	153	47
Willie Mailey Category:Articles with hCards	Scotland	GK	1963–1970	238	0
Dave Whelan Category:Articles with hCards	England	FB	1963–1966	122	0
Mick Gannon Category:Articles with hCards	England	FB	1964–1970	228	2
Keith Stott Category:Articles with hCards	England	HB	1964–1970	208	11
Alan Bradshaw Category:Articles with hCards	England	MF	1965–1971	323	51
Tommy Lowry Category:Articles with hCards	England	FB	1966–1978	482	3
Gordon Wallace Category:Articles with hCards	England	FW	1967–1971	103	21
Roy Gater Category:Articles with hCards	England	FB	1968–1973	156	5
Ernie Adams Category:Articles with hCards	England	GK	1969–1972	122	0
Pat Morrissey Category:Articles with hCards	Ireland	ST	1969–1971	104	31
Stan Bowles Category:Articles with hCards	England	ST	1970–1971	57	19
Hughen Riley Category:Articles with hCards	England	MF	1971–1975	121	9
Geoff Crudgington Category:Articles with hCards	England	GK	1972–1977	280	0
Alan Kelley Category:Articles with hCards	England	FB	1972–1976	107	0
Gerry Humphreys Category:Articles with hCards	Wales	ST	1972–1977	214	30
Phil Nicholls Category:Articles with hCards	England	DF	1972–1979	176	8
Ray Lugg Category:Articles with hCards	England	MF	1973–1978	202	12
Bernard Purdie Category:Articles with hCards	Wales	ST	1973–1979, 1982–1983	255	44
David Davies Category:Articles with hCards	Wales	W	1974–1981	209	26
Dennis Nelson Category:Articles with hCards	Scotland	ST	1974–1976, 1978–1981	188	34
Paul Bevan Category:Articles with hCards	Wales	DF	1975–1980	172	7
Paul Bowles Category:Articles with hCards	England	DF	1975–1979	195	17
Warwick Rimmer Category:Articles with hCards	England	DF	1975–1979	140	0
Peter Coyne Category:Articles with hCards	England	ST	1977–1981	145	49
Danny Bowers Category:Articles with hCards	England	FB	1979–1984	175	2
Bruce Grobbelaar Category:Articles with hCards	Zimbabwe	GK	1979–1980	24	1
Kevin Lewis Category:Articles with hCards	England	FB	1979–1982	122	2
Mark Palios Category:Articles with hCards	England	MF	1979–1983	118	23
Bob Scott Category:Articles with hCards	England	CB	1979–1986	261	17
Ken Mulhearn Category:Articles with hCards	England	GK	1980–1982	95	0
Tony Cliss Category:Articles with hCards	England	ST	1982–1986	121	11
Nigel Hart Category:Articles with hCards	England	DF	1982–1987	154	11
Dave Waller Category:Articles with hCards	England	FW	1982–1986	188	66
Gary Blissett Category:Articles with hCards	England	ST	1983–1987, 1996	155	40
Steve Davis Category:Articles with hCards	England	DF	1983–1988	145	1
David Pullar Category:Articles with hCards	England	W	1983–1987	132	7
Brian Parkin Category:Articles with hCards	England	GK	1984–1988	113	0
Geoff Thomas Category:Articles with hCards	England	MF	1984–1987, 2001–2002	154	23
Aaron Callaghan Category:Articles with hCards	Ireland	DF	1985–1986, 1988–1992	166	6
Chris Cutler Category:Articles with hCards	England	ST	1985–1989	156	26
Craig Hignett Category:Articles with hCards	England	MF/ST	1985–1992	150	57
John Pemberton Category:Articles with hCards	England	DF	1985–1988, 1997–1998	136	2
David Platt Category:Articles with hCards	England	ST	1985–1988	148	61
Peter Billing Category:Articles with hCards	England	CB	1986–1989, 1996–1997	120	1
Dean Greygoose Category:Articles with hCards	England	GK	1987–1993	251	0
Aidan Murphy Category:Articles with hCards	England	MF	1987–1992	113	13
Paul Edwards Category:Articles with hCards	England	DF	1988–1990	102	6
Rob Edwards Category:Articles with hCards	England	DF/MF	1988–1996	198	58
Andy Sussex Category:Articles with hCards	England	DF	1988–1991	125	36
Kenny Swain Category:Articles with hCards	England	DF	1988–1992	152	1
Paul Fishenden Category:Articles with hCards	England	ST	1988–1990	98	31
Mark Gardiner Category:Articles with hCards	England	MF/ST	1988–1995	241	42
Dale Jasper Category:Articles with hCards	England	MF	1988–1991	134	2
Rob Jones Category:Articles with hCards	England	DF	1988–1991	74	2
Dave McKearney Category:Articles with hCards	England	MF	1989–1993	108	11
Steve Walters Category:Articles with hCards	England	MF	1989–1996	173	11
Darren Carr Category:Articles with hCards	England	DF	1990–1993	134	7
Neil Lennon Category:Articles with hCards	Northern Ireland	MF	1990–1996	178	16
Tony Naylor Category:Articles with hCards	England	ST	1990–1994	153	63
Phil Clarkson Category:Articles with hCards	England	MF	1991–1996	122	31
Steve Garvey Category:Articles with hCards	England	MF	1991–1998	108	8
Shaun Smith Category:Articles with hCards	England	FB	1991–2002	466	52
Gus Wilson Category:Articles with hCards	England	FB	1991–1995	115	0
Steve Macauley Category:Articles with hCards	England	CB	1992–2002	317	27
Ashley Ward Category:Articles with hCards	England	FW	1992–1994	76	34
Gareth Whalley Category:Articles with hCards	England	MF	1992–1997, 2002	232	17
Dele Adebola Category:Articles with hCards	Nigeria	ST	1993–1998	152	46
Martyn Booty Category:Articles with hCards	England	DF	1993–1996	123	6
Wayne Collins Category:Articles with hCards	England	MF	1993–1996, 2001–2003	170	19
Mark Gayle Category:Articles with hCards	England	GK	1993–1998	103	0
Francis Tierney Category:Articles with hCards	England	MF	1993–1998	106	12
Billy Barr Category:Articles with hCards	England	DF	1994–1997	100	6
Danny Murphy Category:Articles with hCards	England	MF	1994–1997, 1999	176	33
Mark Rivers Category:Articles with hCards	England	FW	1994–2001, 2004–2006	292	65
Robbie Savage Category:Articles with hCards	Wales	MF	1994–1997	93	11
Lee Unsworth Category:Articles with hCards	England	DF	1995–2000	153	2
Ashley Westwood Category:Articles with hCards	England	DF	1995–1998	125	11
Ademola Bankole Category:Articles with hCards	Nigeria	GK	1996–1998, 2000–2004	70	0
Phil Charnock Category:Articles with hCards	England	MF	1996–2002	183	8
Seth Johnson Category:Articles with hCards	England	DF/MF	1996–1999	102	6
Jason Kearton Category:Articles with hCards	Australia	GK	1996–2001	220	0
Chris Lightfoot Category:Articles with hCards	England	DF	1996–2001	98	5
Colin Little Category:Articles with hCards	England	ST	1996–2003	220	45
Marcus Bignot Category:Articles with hCards	England	DF	1997–2000	106	0
Stephen Foster Category:Articles with hCards	England	CB	1997–2006	242	18
Kenny Lunt Category:Articles with hCards	England	MF	1997–2006, 2008	436	37
Dave Walton Category:Articles with hCards	England	CB	1997–2003	171	3
David Wright Category:Articles with hCards	England	RB	1997–2004	240	3
Rodney Jack Category:Articles with hCards	St. Vincent	FW	1998–2003, 2006–2007	221	45
Jermaine Wright Category:Articles with hCards	England	DF/MF	1998–1999	55	5
Rob Hulse Category:Articles with hCards	England	ST	1999–2003	131	51
Clayton Ince Category:Articles with hCards	Trinidad and Tobago	GK	1999–2005	137	0
Neil Sorvel Category:Articles with hCards	England	MF	1999–2005	283	13
Richard Walker Category:Articles with hCards	England	CB	1999–2006	115	7
Dean Ashton Category:Articles with hCards	England	ST	2000–2005	177	74
Chris McCready Category:Articles with hCards	England	DF	2000–2006, 2007–2009	123	2
Efe Sodje Category:Articles with hCards	Nigeria	DF	2000–2003	116	4
David Vaughan Category:Articles with hCards	Wales	MF	2000–2007	209	20
Dave Brammer Category:Articles with hCards	England	MF	2001–2004	103	6
Steve Jones Category:Articles with hCards	Northern Ireland	FW	2001–2006, 2008	177	46
Ben Rix Category:Articles with hCards	England	MF	2001–2009	159	6
Lee Bell Category:Articles with hCards	England	MF	2002–2008, 2010–2012	148	5
Billy Jones Category:Articles with hCards	England	DF/MF	2003–2007	143	9
Luke Varney Category:Articles with hCards	England	ST	2003–2007	108	35
Gary Roberts Category:Articles with hCards	England	MF	2004–2008	131	11
Ben Williams Category:Articles with hCards	England	GK	2004–2008	148	0
Nicky Maynard Category:Articles with hCards	England	ST	2005–2008	59	37
Julien Baudet Category:Articles with hCards	France	DF	2006–2009	127	2
Shaun Miller Category:Articles with hCards	England	ST	2006–2012	179	43
Danny O'Donnell Category:Articles with hCards	England	DF	2006–2010	117	4
Byron Moore Category:Articles with hCards	England	FW	2007–	211	25
Clayton Donaldson Category:Articles with hCards	England	ST	2008–2011	130	49
Joel Grant Category:Articles with hCards	Jamaica	MF	2008–2011	106	18
Luke Murphy Category:Articles with hCards	England	MF	2008–	145	17
Ashley Westwood Category:Articles with hCards	England	MF	2009–2012	133	15
Matt Tootle Category:Articles with hCards	England	DF	2009–	118	1
