Date	Tournament	Surface	Opponent in the final	Score
11 May 2003	Sidi Fredj	Clay	Sasa Tuksar	6–4, 6–2
21 December 2003	Kish Island	Clay	Sebastian Fitz	6–4, 5–7, 6–1
4 April 2004	Syros	Hard	Pavel Šnobel	6–4, 6–4
21 May 2005	Agadir	Clay	Tres Davis	6–1, 6–2
28 May 2005	Marrakech	Clay	Lukáš Lacko	4–6, 6–3, 6–2
4 June 2005	Khemisset	Clay	Talal Ouahabi	7–6, 6–1
9 September 2005	Algiers	Clay	Filip Polášek	6–3, 6–0
16 September 2005	Algiers	Clay	Slimane Saoudi	6–4, 6–3
22 April 2006	Rabat	Clay	Frederico Gil	6–4, 6–3
7 May 2006	Tunis	Clay	Younes El Aynaoui	W/O
9 July 2006	Montauban	Clay	Marc Gicquel	7–5, 3–6, 7–6
19 May 2007	Algiers	Clay	Reda El Amrani	6–4, 6–3
11 October 2008	Khemisset	Clay	Jan Mertl	6–4, 6–4
18 October 2008	Casablanca	Clay	Jonathan Dasnières de Veigy	6–4, 6–3
31 January 2009	Casablanca	Clay	Éric Prodon	6–3, 6–1
7 February 2009	Rabat	Clay	Éric Prodon	7–5, 7–5
1 February 2010	Rabat	Clay	Laurent Rochette	6–3, 6–3
28 May 2012	Rabat	Clay	Yannik Reuter	6–2, 6–3
4 June 2012	Casablanca	Clay	Mehdi Ziadi	6–0, 6–2
