Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2007	French Formula Renault 2.0	SG Formula	13	5	5	10	11	172	1st
2007	Eurocup Formula Renault 2.0	SG Formula	8	0	1	1	0	4	22nd
2008	Formula 3 Euro Series	ART Grand Prix	20	2	2	2	7	47	3rd
2008	Macau Grand Prix	ART Grand Prix	1	0	0	0	0	N/A	9th
2008	Masters of Formula 3	ART Grand Prix	1	1	0	0	1	N/A	1st
2009	Formula 3 Euro Series	ART Grand Prix	20	9	6	7	12	114	1st
2009	British Formula Three Championship	ART Grand Prix	4	0	2	2	3	0	NC†
2009	Macau Grand Prix	ART Grand Prix	1	0	0	0	0	N/A	10th
2009	Formula Renault 3.5 Series	SG Formula	1	0	0	0	0	0	NC
2009–10	GP2 Asia Series	ART Grand Prix	6	0	1	2	1	8	12th
2010	GP2 Series	ART Grand Prix	20	0	3	1	4	52	3rd
2011	GP2 Series	Lotus ART	18	1	1	0	6	53	3rd
2011	GP2 Asia Series	Lotus ART	4	1	0	1	2	18	2nd
2011	Formula One	Scuderia Ferrari	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2012	Formula Renault 3.5 Series	Tech 1 Racing	17	3	5	7	8	185	2nd
2012	Formula One	Sahara Force India F1 Team	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2013	Formula One	Marussia F1 Team	16	0	0	0	0	0	19th*
