Pick #	Player	Position	Nationality	NHL team	College/junior/club team
29	Rich Leduc	Centre	Canada	California Golden Seals	Trois-Rivières Draveurs (QMJHL)
30	Ralph Hopiavouri	Defence	Canada	Toronto Maple Leafs	Toronto Marlboros (OHA)
31	Jim Cahoon	Centre	Canada	Montreal Canadiens	University of North Dakota (WCHA)
32	Joe Noris	Defence	United States	Pittsburgh Penguins	Toronto Marlboros (OHA)
33	Bill Hajt	Defence	Canada	Buffalo Sabres	Saskatoon Blades (WCHL)
34	Vic Venasky	Centre	Canada	Los Angeles Kings	University of Denver (WCHA)
35	Ron Wilson	Defence	Canada	Minnesota North Stars	Flin Flon Bombers (WCHL)
36	Glen Irwin	Defence	Canada	Philadelphia Flyers	Estevan Bruins (WCHL)
37	Gavin Kirk	Centre	Canada	Toronto Maple Leafs	Toronto Marlboros (OHA)
38	John Garrett	Goaltender	Canada	St. Louis Blues	Peterborough Petes (OHA)
39	Richard Lemieux	Centre	Canada	Vancouver Canucks	Montreal Junior Canadiens (OHA)
40	Bob Peppler	Left Wing	Canada	Chicago Black Hawks	St Catharines Black Hawks (OHA)
41	Terry West	Centre	Canada	New York Rangers	London Knights (OHA)
42	Dave Bonter	Centre	Canada	Boston Bruins	Estevan Bruins (WCHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
