Year	U.S. Hot 100	U.S. R&B	U.S. Rap	Album
1999	36	13	10	Chopper City in the Ghetto
1999	—	106	—	Chopper City in the Ghetto
2000	—	86	—	Checkmate
2003	—	74	—	Livin' Legend
2003	—	—	—	Livin' Legend
2004	—	105	—	Life After Cash Money
2005	—	65	—	The Heart of tha Streetz, Vol. 1
2006	113	52	—	The Heart of tha Streetz, Vol. 2 (I Am What I Am)
2007	—	—	—	We Got This
2008	—	—	—	Life in the Concrete Jungle
2008	—	—	—	Too Hood 2 Be Hollywood
2009	—	—	—	Too Hood 2 Be Hollywood
2009	—	70	—	Too Hood 2 Be Hollywood
2010	—	—	—	Too Hood 2 Be Hollywood
