Date	Type	Time (greatest)	Saros	Member	Gamma	Magnitude
May 18, 1901	Total	5:33:48	136	31	-0.3626	1.068
November 11, 1901	Annular	7:28:21	141	17	0.4758	0.9216
April 8, 1902	Partial	14:05:06	108	76	1.5024	0.0643
May 7, 1902	Partial	22:34:16	146	21	-1.0831	0.8593
October 31, 1902	Partial	8:00:18	151	8	1.1556	0.696
March 29, 1903	Annular	1:35:23	118	62	0.8413	0.9767
September 21, 1903	Total	4:39:52	123	47	-0.8967	1.0316
March 17, 1904	Annular	5:40:44	128	52	0.1299	0.9367
September 9, 1904	Total	20:44:21	133	39	-0.1625	1.0709
March 6, 1905	Annular	5:12:26	138	25	-0.5768	0.9269
August 30, 1905	Total	13:07:26	143	17	0.5708	1.0477
February 23, 1906	Partial	7:43:20	148	15	-1.2479	0.5386
July 21, 1906	Partial	13:14:19	115	70	-1.3637	0.3355
August 20, 1906	Partial	1:12:50	153	3	1.3731	0.3147
January 14, 1907	Total	6:05:43	120	55	0.8628	1.0281
July 10, 1907	Annular	15:24:32	125	48	-0.6313	0.9456
January 3, 1908	Total	21:45:22	130	46	0.1934	1.0437
June 28, 1908	Annular	16:29:51	135	33	0.1389	0.9655
December 23, 1908	Hybrid	11:44:28	140	23	-0.4985	1.0024
June 17, 1909	Hybrid	23:18:38	145	16	0.8957	1.0065
December 12, 1909	Partial	19:44:48	150	11	-1.2456	0.5424
May 9, 1910	Total	5:42:13	117	63	-0.9437	1.06
November 2, 1910	Partial	2:08:32	122	52	1.0603	0.8515
April 28, 1911	Total	22:27:22	127	52	-0.2294	1.0562
October 22, 1911	Annular	4:13:02	132	40	0.3224	0.965
April 17, 1912	Hybrid	11:34:22	137	30	0.528	1.0003
October 10, 1912	Total	13:36:14	142	17	-0.4149	1.0229
April 6, 1913	Partial	17:33:07	147	17	1.3147	0.4244
August 31, 1913	Partial	20:52:12	114	71	1.4512	0.1513
September 30, 1913	Partial	4:45:49	152	7	-1.1005	0.8252
February 25, 1914	Annular	0:13:01	119	60	-0.9416	0.9248
August 21, 1914	Total	12:34:27	124	49	0.7655	1.0328
February 14, 1915	Annular	4:33:20	129	46	-0.2024	0.9789
August 10, 1915	Annular	22:52:25	134	38	0.0124	0.9853
February 3, 1916	Total	16:00:21	139	24	0.4987	1.028
July 30, 1916	Annular	2:06:10	144	11	-0.7709	0.9447
December 24, 1916	Partial	20:46:22	111	78	-1.5321	0.0114
January 23, 1917	Partial	7:28:31	149	15	1.1508	0.7254
June 19, 1917	Partial	13:16:21	116	67	1.2857	0.4729
July 19, 1917	Partial	2:42:42	154	1	-1.5101	0.0863
December 14, 1917	Annular	9:27:20	121	55	-0.9157	0.9791
June 8, 1918	Total	22:07:43	126	42	0.4658	1.0292
December 3, 1918	Annular	15:22:02	131	45	-0.2387	0.9383
May 29, 1919	Total	13:08:55	136	32	-0.2955	1.0719
November 22, 1919	Annular	15:14:12	141	18	0.4549	0.9198
May 18, 1920	Partial	6:14:55	146	22	-1.0239	0.9734
November 10, 1920	Partial	15:52:15	151	9	1.1287	0.742
April 8, 1921	Annular	9:15:01	118	63	0.8869	0.9753
October 1, 1921	Total	12:35:58	123	48	-0.9383	1.0293
March 28, 1922	Annular	13:05:26	128	53	0.1711	0.9381
September 21, 1922	Total	4:40:31	133	40	-0.213	1.0678
March 17, 1923	Annular	12:44:58	138	26	-0.5438	0.931
September 10, 1923	Total	20:47:29	143	18	0.5149	1.043
March 5, 1924	Partial	15:44:20	148	16	-1.2232	0.5819
July 31, 1924	Partial	19:58:20	115	71	-1.4459	0.192
August 30, 1924	Partial	8:23:00	153	4	1.3123	0.4245
January 24, 1925	Total	14:54:03	120	56	0.8661	1.0304
July 20, 1925	Annular	21:48:42	125	49	-0.7193	0.9436
January 14, 1926	Total	6:36:58	130	47	0.1973	1.043
July 9, 1926	Annular	23:06:02	135	34	0.0538	0.968
January 3, 1927	Annular	20:22:53	140	24	-0.4956	0.9995
June 29, 1927	Total	6:23:27	145	17	0.8163	1.0128
December 24, 1927	Partial	3:59:41	150	12	-1.2416	0.549
May 19, 1928	Total	13:24:20	117	64	1.0048	1.014
June 17, 1928	Partial	20:27:28	155	1	1.5107	0.0375
November 12, 1928	Partial	9:48:24	122	53	1.0861	0.8078
May 9, 1929	Total	6:10:34	127	53	-0.2887	1.0562
November 1, 1929	Annular	12:05:10	132	41	0.3514	0.9649
April 28, 1930	Hybrid	19:03:34	137	31	0.473	1.0003
October 21, 1930	Total	21:43:53	142	18	-0.3804	1.023
April 18, 1931	Partial	0:45:35	147	18	1.2643	0.5107
September 12, 1931	Partial	4:41:25	114	72	1.506	0.0471
October 11, 1931	Partial	12:55:40	152	8	-1.0607	0.9005
March 7, 1932	Annular	7:55:50	119	61	-0.9673	0.9277
August 31, 1932	Total	20:03:41	124	50	0.8307	1.0257
February 24, 1933	Annular	12:46:39	129	47	-0.2191	0.9841
August 21, 1933	Annular	5:49:11	134	39	0.0869	0.9801
February 14, 1934	Total	0:38:41	139	25	0.4868	1.0321
August 10, 1934	Annular	8:37:48	144	12	-0.689	0.9436
January 5, 1935	Partial	5:35:46	111	79	-1.5381	0.0013
February 3, 1935	Partial	16:16:20	149	16	1.1438	0.739
June 30, 1935	Partial	19:59:46	116	68	1.3623	0.3375
July 30, 1935	Partial	9:16:28	154	2	-1.4259	0.2315
December 25, 1935	Annular	17:59:52	121	56	-0.9228	0.9752
June 19, 1936	Total	5:20:31	126	43	0.5389	1.0329
December 13, 1936	Annular	23:28:12	131	46	-0.2493	0.9349
June 8, 1937	Total	20:41:02	136	33	-0.2253	1.0751
December 2, 1937	Annular	23:05:45	141	19	0.4389	0.9184
May 29, 1938	Total	13:50:19	146	23	-0.9607	1.0552
November 21, 1938	Partial	23:52:25	151	10	1.1077	0.7781
April 19, 1939	Annular	16:45:53	118	64	0.9388	0.9731
October 12, 1939	Total	20:40:23	123	49	-0.9737	1.0266
April 7, 1940	Annular	20:21:21	128	54	0.219	0.9394
October 1, 1940	Total	12:44:06	133	41	-0.2573	1.0645
March 27, 1941	Annular	20:08:08	138	27	-0.5025	0.9355
September 21, 1941	Total	4:34:03	143	19	0.4649	1.0379
March 16, 1942	Partial	23:37:07	148	17	-1.1908	0.6393
August 12, 1942	Partial	2:45:12	115	72	-1.5244	0.0561
September 10, 1942	Partial	15:39:32	153	5	1.2571	0.523
February 4, 1943	Total	23:38:10	120	57	0.8734	1.0331
August 1, 1943	Annular	4:16:13	125	50	-0.8041	0.9409
January 25, 1944	Total	15:26:42	130	48	0.2025	1.0428
July 20, 1944	Annular	5:43:13	135	35	-0.0314	0.97
January 14, 1945	Annular	5:01:43	140	25	-0.4937	0.997
July 9, 1945	Total	13:27:46	145	18	0.7356	1.018
January 3, 1946	Partial	12:16:11	150	13	-1.2392	0.5529
May 30, 1946	Partial	21:00:24	117	65	-1.0711	0.8865
June 29, 1946	Partial	3:51:58	155	2	1.4361	0.1802
November 23, 1946	Partial	17:37:12	122	54	1.105	0.7758
May 20, 1947	Total	13:47:47	127	54	-0.3528	1.0557
November 12, 1947	Annular	20:05:37	132	42	0.3743	0.965
May 9, 1948	Annular	2:26:04	137	32	0.4133	0.9999
November 1, 1948	Total	5:59:18	142	19	-0.3517	1.0231
April 28, 1949	Partial	7:48:53	147	19	1.2068	0.6092
October 21, 1949	Partial	21:13:01	152	9	-1.027	0.9638
March 18, 1950	Annular	15:32:01	119	62	0.9988	0.962
September 12, 1950	Total	3:38:47	124	51	0.8903	1.0182
March 7, 1951	Annular	20:53:40	129	48	-0.242	0.9896
September 1, 1951	Annular	12:51:51	134	40	0.1557	0.9747
February 25, 1952	Total	9:11:35	139	26	0.4697	1.0366
August 20, 1952	Annular	15:13:35	144	13	-0.6102	0.942
February 14, 1953	Partial	0:59:30	149	17	1.1331	0.7596
July 11, 1953	Partial	2:44:14	116	69	1.4388	0.2015
August 9, 1953	Partial	15:55:03	154	3	-1.344	0.3729
January 5, 1954	Annular	2:32:01	121	57	-0.9296	0.972
June 30, 1954	Total	12:32:38	126	44	0.6135	1.0357
December 25, 1954	Annular	7:36:42	131	47	-0.2576	0.9323
June 20, 1955	Total	4:10:42	136	34	-0.1528	1.0776
December 14, 1955	Annular	7:02:25	141	20	0.4266	0.9176
June 8, 1956	Total	21:20:39	146	24	-0.8934	1.0581
December 2, 1956	Partial	8:00:35	151	11	1.0923	0.8047
April 30, 1957	Annular	0:05:28	118	65	0.9992	0.9799
October 23, 1957	Total	4:54:02	123	50	1.0022	1.0013
April 19, 1958	Annular	3:27:17	128	55	0.275	0.9408
October 12, 1958	Total	20:55:28	133	42	-0.2951	1.0608
April 8, 1959	Annular	3:24:08	138	28	-0.4546	0.9401
October 2, 1959	Total	12:27:00	143	20	0.4207	1.0325
March 27, 1960	Partial	7:25:07	148	18	-1.1537	0.7058
September 20, 1960	Partial	22:59:56	153	6	1.2057	0.6139
February 15, 1961	Total	8:19:48	120	58	0.883	1.036
August 11, 1961	Annular	10:46:47	125	51	-0.8859	0.9375
February 5, 1962	Total	0:12:38	130	49	0.2107	1.043
July 31, 1962	Annular	12:25:33	135	36	-0.113	0.9716
January 25, 1963	Annular	13:37:12	140	26	-0.4898	0.9951
July 20, 1963	Total	20:36:13	145	19	0.6571	1.0224
January 14, 1964	Partial	20:30:08	150	14	-1.2354	0.5591
June 10, 1964	Partial	4:34:07	117	66	-1.1393	0.7545
July 9, 1964	Partial	11:17:53	155	3	1.3623	0.3221
December 4, 1964	Partial	1:31:54	122	55	1.1193	0.7518
May 30, 1965	Total	21:17:31	127	55	-0.4225	1.0544
November 23, 1965	Annular	4:14:51	132	43	0.3906	0.9656
May 20, 1966	Annular	9:39:02	137	33	0.3467	0.9991
November 12, 1966	Total	14:23:28	142	20	-0.33	1.0234
May 9, 1967	Partial	14:42:48	147	20	1.1422	0.7201
November 2, 1967	Total	5:38:56	152	10	1.0007	1.0126
March 28, 1968	Partial	23:00:30	119	63	-1.037	0.899
September 22, 1968	Total	11:18:46	124	52	0.9451	1.0099
March 18, 1969	Annular	4:54:57	129	49	-0.2704	0.9954
September 11, 1969	Annular	19:58:59	134	41	0.2201	0.969
March 7, 1970	Total	17:38:30	139	27	0.4473	1.0414
August 31, 1970	Annular	21:55:30	144	14	-0.5364	0.94
February 25, 1971	Partial	9:38:07	149	18	1.1188	0.7872
July 22, 1971	Partial	9:31:55	116	70	1.513	0.0689
August 20, 1971	Partial	22:39:31	154	4	-1.2659	0.508
January 16, 1972	Annular	11:03:22	121	58	-0.9365	0.9692
July 10, 1972	Total	19:46:38	126	45	0.6872	1.0379
January 4, 1973	Annular	15:46:21	131	48	-0.2644	0.9303
June 30, 1973	Total	11:38:41	136	35	-0.0785	1.0792
December 24, 1973	Annular	15:02:44	141	21	0.4171	0.9174
June 20, 1974	Total	4:48:04	146	25	-0.8239	1.0592
