Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	St. Louis	3 – 2	Minnesota	Harding	18,568	7–4–2
November 3	Calgary	1 – 4	Minnesota	Backstrom	18,568	8–4–2
November 5	Edmonton	2 – 5	Minnesota	Backstrom	18,568	9–4–2
November 11	Minnesota	2 – 4	Colorado	Backstrom	15,434	9–5–2
November 13	Minnesota	2 – 3	Calgary	Backstrom	19,289	9–6–2
November 15	Minnesota	4 – 2	Edmonton	Backstrom	16,839	10–6–2
November 16	Minnesota	2 – 6	Vancouver	Harding	18,630	10–7–2
November 18	Colorado	1 – 4	Minnesota	Harding	18,568	11–7–2
November 21	Vancouver	4 – 2	Minnesota	Harding	18,568	11–8–2
November 23	Columbus	4 – 0	Minnesota	Backstrom	18,568	11–9–2
November 24	Minnesota	4 – 3	Nashville	Backstrom	12,639	12–9–2
November 28	Phoenix	1 – 3	Minnesota	Backstrom	18,568	13–9–2
November 30	St. Louis	2 – 3	Minnesota	Backstrom	18,568	14–9–2
