Locomotive	Pre-conversion	Entered service (T)	Re-entered service (P)	Owner
P11	T336	9 May 1956	5 June 1984	V/Line Passenger
P12	T329	18 June 1956	7 June 1984	V/Line Passenger
P13	T340	30 October 1956	10 July 1984	V/Line Passenger
P14	T330	2 July 1956	1 August 1984	V/Line Passenger
P15	T344	9 December 1956	22 October 1984	V/Line Passenger
P16	T332	22 July 1956	23 November 1984	V/Line Passenger
P17	T327	28 May 1956	19 December 1984	V/Line Passenger
P18	T339	7 October 1956	15 February 1985	V/Line Passenger
P19	T331	2 July 1956	26 March 1985	Pacific National - Rural and Bulk
P20	T337	23 September 1956	29 May 1985	Pacific National - Rural and Bulk
P21	T338	23 September 1956	27 June 1985	Pacific National - Rural and Bulk
P22	T328	18 June 1956	11 September 1985	Pacific National - Rural and Bulk
P23	T326	28 May 1956	11 September 1985	Pacific National - Rural and Bulk
