Team	Chassis	Engine	Tire	Sponsor
Marlboro Team Penske	Penske PC-24	Ilmor - Mercedes Benz IC108	Goodyear	Marlboro
Marlboro Team Penske	Penske PC-24	Ilmor - Mercedes Benz IC108	Goodyear	Marlboro
Newman/Haas Racing	Lola	Ford XB	Goodyear	Kmart / Budweiser
Newman/Haas Racing	Lola	Ford XB	Goodyear	Kmart / Texaco – Havoline
Target Chip Ganassi Racing	Reynard 95I	Ford XB	Goodyear	Target Stores / Scotch Video
Target Chip Ganassi Racing	Reynard 95I	Ford XB	Goodyear	Target Stores / STP
Walker Racing	Reynard 95I	Ford XB	Goodyear	Valvoline / Cummins
Walker Racing	Reynard 95I	Ford XB	Goodyear	Marlboro / Chapecó
Dick Simon Racing	Lola	Ford XB	Goodyear	Cristal / Mobil 1 / Copec
Dick Simon Racing	Lola	Ford XB	Goodyear	Herdez
Dick Simon Racing	Lola	Ford XB	Goodyear	Herdez
Dick Simon Racing	Lola	Ford XB	Goodyear	Bryant
Dick Simon Racing	Lola	Ford XB	Goodyear	Unsponsored
Dick Simon Racing	Lola	Ford XB	Goodyear	Subway
Hall Racing	Reynard 95I	Ilmor - Mercedes Benz IC108	Goodyear	Pennzoil
Rahal-Hogan Racing	Lola	Ilmor - Mercedes Benz IC108	Goodyear	Miller
Rahal-Hogan Racing	Lola	Ilmor - Mercedes Benz IC108	Goodyear	Duracell
Galles Racing	Lola	Ilmor - Mercedes Benz IC108	Goodyear	Tecate / Quaker State
Galles Racing	Lola	Ilmor - Mercedes Benz IC108	Goodyear	Brastemp
Galles Racing	Lola	Ilmor - Mercedes Benz IC108	Goodyear	Brastemp
A. J. Foyt Enterprises	Lola	Ford XB	Goodyear	Copenhagen
A. J. Foyt Enterprises	Lola	Ford XB	Goodyear	Copenhagen
Bettenhausen Motorsports	Penske PC-23	Ilmor - Mercedes Benz IC108	Goodyear	Alumax
PacWest Racing	Reynard 95I	Ford XB	Goodyear	Visa
PacWest Racing	Reynard 95I	Ford XB	Goodyear	Hollywood Cigarettes
PacWest Racing	Reynard 95I	Ford XB	Goodyear	Unsponsored
Payton / Coyne Racing	Lola	Ford XB	Firestone	AGFA
Payton / Coyne Racing	Lola	Ford XB	Firestone	Mi-Jack
Patrick Racing	Lola	Ford XB	Firestone	Firestone
Arciero Racing	Reynard 95I	Ford XB	Firestone	Panasonic
Team Green	Reynard 95I	Ford XB	Goodyear	Player's
Tasman Motorsports	Reynard 95I	Honda	Firestone	LCI International
Tasman Motorsports	Reynard 95I	Honda	Firestone	LCI International
Forsythe Racing	Reynard 95I	Ford XB	Goodyear	ABB /Indeck
Team Menard	Lola	Menard (badged as Buick )	Firestone	Glidden
Team Menard	Lola	Menard (badged as Buick )	Firestone	Quaker State / Glidden
Team Menard	Lola	Menard (badged as Buick )	Firestone	Quaker State
Comptech Racing	Reynard 95I	Honda	Firestone	Motorola
Project Indy	Reynard 95I	Ford XB	Goodyear	No Touch/Marcelo Group
