Player	Touchdowns (5 points)	Extra points 1 point	Field goals (5 points)	Safeties (2 points)	Total Points
Albert Herrnstein	26	1	0	0	131
James Lawrence	12	53	0	0	113
Willie Heston	15	0	0	0	75
Joe Maddock	13	0	0	0	65
Paul Jones	11	0	0	0	55
Everett Sweeley	1	22	4	0	47
William Cole	4	13	0	0	33
William Palmer	5	0	0	0	25
Herb Graver	5	3	0	0	23
Ross Kidston	4	0	0	0	20
Paul Dickey	3	0	0	0	10
Dan McGugin	2	0	0	0	10
Curtis Redden	2	0	0	0	10
Harold Baker	1	0	0	0	5
Charles Carter	1	0	0	0	5
James Forrest	1	0	0	0	5
na	0	0	0	1	2
