No. in series	No. in season	Title	Directed by	Written by	Original air date
14	1	"Voicemail"	Jace Alexander	Denis Leary and Peter Tolan	June21,2005
15	2	"Harmony"	Jace Alexander	Peter Tolan and Denis Leary	June28,2005
16	3	"Balls"	John Fortenberry	Denis Leary and Peter Tolan	July5,2005
17	4	"Twat"	John Fortenberry	Peter Tolan and Denis Leary	July12,2005
18	5	"Sensitivity"	Peter Tolan	Denis Leary and Peter Tolan	July19,2005
19	6	"Reunion"	Peter Tolan	Peter Tolan and Denis Leary	July26,2005
20	7	"Shame"	Jace Alexander	Evan Reilly	August2,2005
21	8	"Believe"	Jace Alexander	Evan Reilly	August9,2005
22	9	"Rebirth"	Jeffrey Levy	Denis Leary and Peter Tolan	August16,2005
23	10	"Brains"	Jeffrey Levy	Mike Martineau	August23,2005
24	11	"Bitch"	John Fortenberry	John Scurti	August30,2005
25	12	"Happy"	John Fortenberry	Denis Leary, Peter Tolan and Evan Reilly	September6,2005
