Location	Name of mill	Type	Built	Notes
Andenne	Molen de Stud	Grondzeiler	18th century	Molenechos (Dutch)
Belgrade	Moulin Massinon	Grondzeiler	1828	Molenechos (Dutch)
Frasnes-lez-Couvin	Moulin Tromcourt Moulin de Géronsart	Grondzeiler	Early 19th century	Molenechos (Dutch)
Gembloux-sur-Orneau	Moulin Staquet Moulin Créton	Grondzeiler	19th century	Molenechos (Dutch)
Grand-Leez	Moulin Defrenne	Grondzeiler	1830	Molenechos (Dutch)
Grand Leez	Moulin Lorge	Grondzeiler	19th century	Molenechos (Dutch)
Mettet	Moulin de Scry Vieux Moulin	Grondzeiler	1792	Molenechos (Dutch)
Sauvenière	Moulin Michaux	Grondzeiler	1802	Molenechos (Dutch)
Tongrinne	Moulin de Tongrinne	Grondzeiler	19th century	Molenechos (Dutch)
Velaine-sur-Sambre	Moulin des Golettes	Grondzeiler	Late 18th century	Molenechos (Dutch)
