District	Incumbent	Party	First elected	Result	Candidates
Pennsylvania 1	Bob Brady	Democratic	1998	Re-elected	Bob Brady (D) 85.1% John Featherman (R) 15.0%
Pennsylvania 5	Glenn Thompson	Republican	2008	Re-elected	Glenn Thompson (R) 62.9% Charles Dumas (D) 37.1%
Pennsylvania 6	Jim Gerlach	Republican	2002	Re-elected	Jim Gerlach (R) 57.1% Manan Trivedi (D) 42.9%
Pennsylvania 7	Pat Meehan	Republican	2010	Re-elected	Pat Meehan (R) 59.5% George Badey (D) 40.5%
Pennsylvania 9	Bill Shuster	Republican	2000	Re-elected	Bill Shuster (R) 61.6% Karen Ramsburg (D) 38.4%
Pennsylvania 10	Tom Marino	Republican	2010	Re-elected	Tom Marino (R) 65.9% Phil Scollo (D) 34.1%
Pennsylvania 11	Lou Barletta	Republican	2010	Re-elected	Lou Barletta (R) 58.5% Gene Stilp (D) 41.5%
Pennsylvania 12	Mark Critz	Democratic	2010	Lost re-election Republican gain	Keith Rothfus (R) 51.5% Mark Critz (D) 48.5%
Pennsylvania 12	Jason Altmire Redistricted from the 4th district	Democratic	2006	Lost renomination Democratic loss	Keith Rothfus (R) 51.5% Mark Critz (D) 48.5%
Pennsylvania 13	Allyson Schwartz	Democratic	2004	Re-elected	Allyson Schwartz (D) 69.0% Joe Rooney (R) 31.0%
Pennsylvania 14	Mike Doyle	Democratic	1994	Re-elected	Mike Doyle (D) 77.0% Hans Lessmann (R) 23.1%
Pennsylvania 15	Charlie Dent	Republican	2004	Re-elected	Charlie Dent (R) 56.6% Rick Daugherty (D) 43.4%
