Word number	The Basque of the glossary	Modern Basque	The Icelandic of the glossary	English translation
193 & 225	presenta for mi	Emadazu	giefdu mier	Give me
196	bocata for mi attora	Garbitu iezadazu atorra	þvodu fyrer mig skyrtu	Wash a shirt for me
209	fenicha for ju	Izorra hadi!	liggia þig	Fuck you!
216	presenta for mi locaria	Emazkidazu lokarriak	giefdu mier socka bond	Give me garters
217	ser ju presenta for mi	Zer emango didazu?	hvad gefur þu mier	What do you give me?
218	for mi presenta for ju biskusa eta sagarduna	Bizkotxa eta sagardoa emango dizkizut	Eg skal gefa þier braudkoku og Syrdryck	I will give you a biscuit and a sour drink
219	trucka cammisola	Jertse bat erosi	kaufftu peisu	Buy a sweater
220	sumbatt galsardia for	Zenbat galtzerditarako?	fyrer hvad marga socka	For how many socks?
223	Cavinit trucka for mi	Ez dut ezer erosiko	eckert kaupe eg	I buy nothing
226	for ju mala gissuna	Gizon gaiztoa zara	þu ert vondur madur	You are an evil man
227	presenta for mi berrua usnia eta berria bura	Emadazu esne beroa eta gurin berria	gefdu mier heita miölk og nyt smior	Give me hot milk and new butter
