Rank	Player	Career	Caps	Goals
1	Martin Reim	1992–2009	157	14
2	Marko Kristal	1992–2005	143	9
3	Andres Oper	1995–	133	38
4	Mart Poom	1992–2009	120	0
5	Kristen Viikmäe	1997–2013	115	15
6	Raio Piiroja	1998–	113	8
7	Indrek Zelinski	1994–2010	103	27
8	Enar Jääger	2002–	99	0
9	Sergei Terehhov	1997–2007	94	5
10	Joel Lindpere	1999–	90	6
10	Ragnar Klavan	2003–	90	2
12	Andrei Stepanov	1999–2012	89	1
13	Dmitri Kruglov	2004–	88	1
14	Marek Lemsalu	1992–2007	86	3
15	Aleksandr Dmitrijev	2004–	83	0
16	Urmas Kirs	1992–2000	80	5
17	Tarmo Kink	2004–	78	6
18	Teet Allas	1997–2008	73	2
19	Taavi Rähn	2001–	72	0
20	Viktor Alonen	1992–2001	71	0
