Year	Binibining Pilipinas-Universe	Binibining Pilipinas-World	Binibining Pilipinas International	Miss Maja Pilipinas	First runner-up	Second runner-up
1992	Elizabeth Berroya	Marilen Espino	Jo-Anne Timothea Alivio	Marina Benipayo	Hazel Huelves	Michelle Buan
1992	Elizabeth Berroya	Marina Benipayo	Jo-Anne Timothea Alivio	Marina Benipayo	Hazel Huelves	Michelle Buan
1993	Melinda Joanna Gallardo	Sharmaine Gutierrez	Sheela Mae Santarin †	Not awarded	Cristina Ang Esguerra	Myra Macariola
1994	Charlene Mae Bonnin	Caroline Subijano	Alma Concepcion	Not awarded	Abbygale Arenas	Eda Calonia
1995	Joanne Santos	Reham Snow Tago	Gladys Andre Dueñas	Tiffany Cuña	Caroline Pobre	Margaret Laing
1996	Aileen Damiles	Daisy Reyes	Yedda Marie Kittilsvedt	Not anymore part of Bb. Pilipinas	Maria Sovietskaya Bacud	Sonia Santiago
1997	Abbygale Arenas	Kristine Rachel Florendo	Susan Jane Ritter	Not anymore part of Bb. Pilipinas	Abiele Arianne del Moral	Marivic Galang
1998	Olivia Tisha Silang	Rachel Soriano	Colette Glazer	Not anymore part of Bb. Pilipinas	Jewel May Lobaton	Elsie Sicat
1998	Jewel May Lobaton	Rachel Soriano	Colette Glazer	Not anymore part of Bb. Pilipinas	Elsie Sicat	Esabela Cabrera
1999	Janelle Bautista	Miriam Quiambao	Lalaine Edson	Not anymore part of Bb. Pilipinas	Michelle Arcangel	Joelle Marie Pelaez
1999	Miriam Quiambao	Lalaine Edson	Georgina Anne Sandico	Not anymore part of Bb. Pilipinas	Michelle Arcangel	Joelle Marie Pelaez
