Rank	Nation	National Wins	Drivers	Driver Wins
1	United Kingdom	8	Dario Franchitti	2007
1	United Kingdom	8	Dan Wheldon	2005
1	United Kingdom	8	George Robson [b]	1946
1	United Kingdom	8	Jim Clark	1965
1	United Kingdom	8	Graham Hill	1966
2	Brazil	7	Hélio Castroneves	2001
2	Brazil	7	Emerson Fittipaldi	1989
2	Brazil	7	Gil de Ferran [a]	2003
2	Brazil	7	Tony Kanaan	2013
3	France	3	Jules Goux	1913
3	France	3	René Thomas	1914
3	France	3	Gaston Chevrolet [b]	1920
3	Italy	3	Ralph DePalma	1915
3	Italy	3	Dario Resta [c]	1916
3	Italy	3	Mario Andretti [b]	1969
5	Netherlands	2	Arie Luyendyk	1990
6	Canada	1	Jacques Villeneuve	1995
6	Sweden	1	Kenny Bräck	1999
6	Colombia	1	Juan Pablo Montoya	2000
6	New Zealand	1	Scott Dixon	2008
