Place	Player	Country	Score	To par	Money ( $ )
1	Johnny Goodman (a)	United States	75-66-70-76=287	–1	0
2	Ralph Guldahl	United States	76-71-70-71=288	E	1,000
3	Craig Wood	United States	73-74-71-72=290	+2	750
T4	Tommy Armour	Scotland United States	68-75-76-73=292	+4	600
T4	Walter Hagen	United States	73-76-77-66=292	+4	600
6	Mortie Dutra	United States	75-73-72-74=294	+6	450
T7	Olin Dutra	United States	75-71-75-74=295	+7	350
T7	Gus Moreland (a)	United States	76-76-71-72=295	+7	0
T9	Clarence Clark	United States	80-72-72-72=296	+8	156
T9	Johnny Farrell	United States	75-77-72-72=296	+8	156
T9	Willie Goggin	United States	79-73-73-71=296	+8	156
T9	Joe Kirkwood, Sr.	Australia	74-70-79-73=296	+8	156
