Ensemble	Gold Medals	Silver Medals	Bronze Medals	Total Medals
Aftermath	0	0	1	1
Arthur Hill	1	1	1	3
B2 Percussion	0	0	1	1
Brookwood Independent	1	0	0	1
Chattanooga Independent	0	2	0	2
Craven	0	0	1	1
Dojo Percussion	1	0	0	1
East 80 Indoor Percussion	0	0	1	1
Eastside Fury Percussion	1	0	0	1
Elements	1	0	0	1
Farmington United Percussion	0	1	1	2
Full Force Percussion	0	1	0	1
Huron Valley Percussion	0	0	1	1
Impact Audio Theater	0	1	0	1
L.E.A.P.	2	0	0	2
Long Beach Indoor	0	0	1	1
Madison Independent	1	0	0	1
OC Indoor	1	0	0	1
Pioneer	2	0	0	2
Plan B	1	0	0	1
Quest Percussion Ensemble	0	1	0	1
Ripe	0	0	1	1
Salem Blue Devils	0	1	0	1
Scenic City Velocity	0	1	0	1
Spirit of America Percussion Ensemble	1	2	1	4
Tomball Independent	0	0	1	1
Vegas Vanguard	0	1	2	3
Voyager Intrepid Percussion	0	0	1	1
Walled Lake Percussion	1	2	0	3
