Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Yankees	4 - 2	MacDonald (3-2)	25,105	73-59
September 2	Orioles	5 - 4 (12)	Olson (3-5)	50,314	74-59
September 3	Orioles	8 - 4	Wells (13-10)	50,299	74-60
September 4	Orioles	3 - 1	Milacki (8-8)	50,303	75-60
September 5	@ Indians	13 - 1	Nagy (8-12)	5,666	76-60
September 6	@ Indians	7 - 4	Otto (1-6)	14,533	77-60
September 7	@ Indians	4 - 1	Swindell (8-14)	17,830	78-60
September 8	@ Indians	11 - 5	King (5-10)	13,071	79-60
September 10	Mariners	5 - 4	Stottlemyre (13-7)	50,196	79-61
September 11	Mariners	7 - 3	Key (15-10)	50,321	79-62
September 13	Athletics	7 - 6	Stewart (11-9)	50,315	80-62
September 14	Athletics	6 - 0	Welch (11-12)	50,319	81-62
September 15	Athletics	10 - 5	Stottlemyre (13-8)	50,315	81-63
September 16	@ Mariners	6 - 5 (11)	MacDonald (3-3)	55,612	81-64
September 17	@ Mariners	5 - 4 (11)	Acker (3-5)	29,115	81-65
September 18	@ Mariners	5 - 3 (12)	Bankhead (2-6)	30,200	82-65
September 20	@ Athletics	6 - 5 (11)	Ward (7-6)	33,765	82-66
September 21	@ Athletics	4 - 0	Key (15-11)	36,601	82-67
September 22	@ Athletics	3 - 2	Darling (3-5)	28,276	83-67
September 23	@ Angels	10 - 9	Candiotti (13-12)	20,001	83-68
September 24	@ Angels	3 - 0 (10)	Abbott (17-10)	21,538	84-68
September 25	@ Angels	7 - 2	Langston (17-8)	19,251	85-68
September 27	Twins	7 - 2	Tapani (16-9)	50,326	86-68
September 28	Twins	5 - 0	Candiotti (13-13)	50,319	86-69
September 29	Twins	2 - 1	Erickson (19-8)	50,315	87-69
September 30	Angels	2 - 1	Key (16-12)	50,321	87-70
